PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Castro Neto, A. H.; Guinea, F.; Peres, N. M. R.; Novoselov, K. S.; Geim, A. K.								The electronic properties of graphene								REVIEWS OF MODERN PHYSICS				81	1			109	162		10.1103/RevModPhys.81.109			JAN-MAR 2009	2009										13995							WOS:000264764600004		
J	Hasan, M. Z.; Kane, C. L.								Colloquium: Topological insulators								REVIEWS OF MODERN PHYSICS				82	4			3045	3067		10.1103/RevModPhys.82.3045			NOV 8 2010	2010										8415							WOS:000283929800001		
J	Qi, Xiao-Liang; Zhang, Shou-Cheng								Topological insulators and superconductors								REVIEWS OF MODERN PHYSICS				83	4						10.1103/RevModPhys.83.1057			OCT 14 2011	2011										5926							WOS:000308825700001		
J	Wan, Xiangang; Turner, Ari M.; Vishwanath, Ashvin; Savrasov, Sergey Y.								Topological semimetal and Fermi-arc surface states in the electronic structure of pyrochlore iridates								PHYSICAL REVIEW B				83	20					205101	10.1103/PhysRevB.83.205101			MAY 2 2011	2011										2055							WOS:000290120500002		
J	Das Sarma, S.; Adam, Shaffique; Hwang, E. H.; Rossi, Enrico								Electronic transport in two-dimensional graphene								REVIEWS OF MODERN PHYSICS				83	2			407	470		10.1103/RevModPhys.83.407			MAY 16 2011	2011										1863							WOS:000290730200001		
J	Xiao, Di; Chang, Ming-Che; Niu, Qian								Berry phase effects on electronic properties								REVIEWS OF MODERN PHYSICS				82	3			1959	2007		10.1103/RevModPhys.82.1959			JUL 6 2010	2010										1373							WOS:000279557500001		
J	Lv, B. Q.; Weng, H. M.; Fu, B. B.; Wang, X. P.; Miao, H.; Ma, J.; Richard, P.; Huang, X. C.; Zhao, L. X.; Chen, G. F.; Fang, Z.; Dai, X.; Qian, T.; Ding, H.								Experimental Discovery of Weyl Semimetal TaAs								PHYSICAL REVIEW X				5	3					031013	10.1103/PhysRevX.5.031013			JUL 31 2015	2015										1067							WOS:000358858300002		
J	Liu, Z. K.; Zhou, B.; Zhang, Y.; Wang, Z. J.; Weng, H. M.; Prabhakaran, D.; Mo, S-K; Shen, Z. X.; Fang, Z.; Dai, X.; Hussain, Z.; Chen, Y. L.								Discovery of a Three-Dimensional Topological Dirac Semimetal, Na3Bi								SCIENCE				343	6173			864	867		10.1126/science.1245085			FEB 21 2014	2014										981							WOS:000331552600040		
J	Weng, Hongming; Fang, Chen; Fang, Zhong; Bernevig, B. Andrei; Dai, Xi								Weyl Semimetal Phase in Noncentrosymmetric Transition-Metal Monophosphides								PHYSICAL REVIEW X				5	1					011029	10.1103/PhysRevX.5.011029			MAR 17 2015	2015										920							WOS:000351507700001		
J	Jackeli, G.; Khaliullin, G.								Mott Insulators in the Strong Spin-Orbit Coupling Limit: From Heisenberg to a Quantum Compass and Kitaev Models								PHYSICAL REVIEW LETTERS				102	1					017205	10.1103/PhysRevLett.102.017205			JAN 9 2009	2009										905							WOS:000262355000068		
J	Wang, Zhijun; Sun, Yan; Chen, Xing-Qiu; Franchini, Cesare; Xu, Gang; Weng, Hongming; Dai, Xi; Fang, Zhong								Dirac semimetal and topological phase transitions in A(3)Bi (A = Na, K, Rb)								PHYSICAL REVIEW B				85	19					195320	10.1103/PhysRevB.85.195320			MAY 22 2012	2012										846							WOS:000304394800006		
J	Lu, Ling; Joannopoulos, John D.; Soljacic, Marin								Topological photonics								NATURE PHOTONICS				8	11			821	829		10.1038/NPHOTON.2014.248			NOV 2014	2014										770							WOS:000344840400008		
J	Soluyanov, Alexey A.; Gresch, Dominik; Wang, Zhijun; Wu, QuanSheng; Troyer, Matthias; Dai, Xi; Bernevig, B. Andrei								Type-II Weyl semimetals								NATURE				527	7579			495	498		10.1038/nature15768			NOV 26 2015	2015										762							WOS:000365352500043		
J	Huang, Shin-Ming; Xu, Su-Yang; Belopolski, Ilya; Lee, Chi-Cheng; Chang, Guoqing; Wang, BaoKai; Alidoust, Nasser; Bian, Guang; Neupane, Madhab; Zhang, Chenglong; Jia, Shuang; Bansil, Arun; Lin, Hsin; Hasan, M. Zahid								A Weyl Fermion semimetal with surface Fermi arcs in the transition metal monopnictide TaAs class								NATURE COMMUNICATIONS				6						7373	10.1038/ncomms8373			JUN 2015	2015										742							WOS:000357175300006		
J	Gardner, Jason S.; Gingras, Michel J. P.; Greedan, John E.								Magnetic pyrochlore oxides								REVIEWS OF MODERN PHYSICS				82	1			53	107		10.1103/RevModPhys.82.53			JAN-MAR 2010	2010										704							WOS:000276184000002		
J	Wang, Zhijun; Weng, Hongming; Wu, Quansheng; Dai, Xi; Fang, Zhong								Three-dimensional Dirac semimetal and quantum transport in Cd3As2								PHYSICAL REVIEW B				88	12					125427	10.1103/PhysRevB.88.125427			SEP 23 2013	2013										703							WOS:000324690500009		
J	Ando, Yoichi								Topological Insulator Materials								JOURNAL OF THE PHYSICAL SOCIETY OF JAPAN				82	10					102001	10.7566/JPSJ.82.102001			OCT 2013	2013										701							WOS:000325108000001		
