PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Adams, Brian D.; Zheng, Jianming; Ren, Xiaodi; Xu, Wu; Zhang, Ji-Guang								Accurate Determination of Coulombic Efficiency for Lithium Metal Anodes and Lithium Metal Batteries								ADVANCED ENERGY MATERIALS				8	7					1702097	10.1002/aenm.201702097			MAR 5 2018	2018										41							WOS:000426603200010		
J	Wang, Hansen; Lin, Dingchang; Liu, Yayuan; Li, Yuzhang; Cui, Yi								Ultrahigh-current density anodes with interconnected Li metal reservoir through overlithiation of mesoporous AlF3 framework								SCIENCE ADVANCES				3	9					e1701301	10.1126/sciadv.1701301			SEP 2017	2017										41							WOS:000411592600020		
J	Chen, Shuru; Zheng, Jianming; Mei, Donghai; Han, Kee Sung; Engelhard, Mark H.; Zhao, Wengao; Xu, Wu; Liu, Jun; Zhang, Ji-Guang								High-Voltage Lithium-Metal Batteries Enabled by Localized High-Concentration Electrolytes								ADVANCED MATERIALS				30	21					1706102	10.1002/adma.201706102			MAY 24 2018	2018										35							WOS:000434032600006		
J	Liu, Xi; Zhang, Chaohong; Duan, Chunhui; Li, Mengmeng; Hu, Zhicheng; Wang, Jing; Liu, Feng; Li, Ning; Brabec, Christoph J.; Janssen, Rene A. J.; Bazan, Guillermo C.; Huang, Fei; Cao, Yong								Morphology Optimization via Side Chain Engineering Enables All Polymer Solar Cells with Excellent Fill Factor and Stability								JOURNAL OF THE AMERICAN CHEMICAL SOCIETY				140	28			8934	8943		10.1021/jacs.8b05038			JUL 18 2018	2018										34							WOS:000439532000044		
J	Li, Sa; Jiang, Mengwen; Xie, Yong; Xu, Hui; Jia, Junyao; Li, Ju								Developing High-Performance Lithium Metal Anode in Liquid Electrolytes: Challenges and Progress								ADVANCED MATERIALS				30	17					1706375	10.1002/adma.201706375			APR 25 2018	2018										29							WOS:000430660500026		
J	MacLeod, Bradley A.; Stanton, Noah J.; Gould, Isaac E.; Wesenberg, Devin; Ihly, Rachelle; Owczarczyk, Zbyslaw R.; Hurst, Katherine E.; Fewox, Christopher S.; Folmar, Christopher N.; Hughes, Katherine Holman; Zink, Barry L.; Blackburn, Jeffrey L.; Ferguson, Andrew J.								Large n- and p-type thermoelectric power factors from doped semiconducting single-walled carbon nanotube thin films								ENERGY & ENVIRONMENTAL SCIENCE				10	10			2168	2179		10.1039/c7ee01130j			OCT 1 2017	2017										29							WOS:000412765600011		
J	He, Yibo; Chang, Zhi; Wu, Shichao; Zhou, Haoshen								Effective strategies for long-cycle life lithium-sulfur batteries								JOURNAL OF MATERIALS CHEMISTRY A				6	15			6155	6182		10.1039/c8ta01115j			APR 21 2018	2018										28							WOS:000430368900002		
J	Xu, Yaolin; Menon, Ashok Sreekumar; Harks, Peter Paul R. M. L.; Hermes, Dorothee C.; Haverkate, Lucas A.; Unnikrishnan, Sandeep; Mulder, Fokko M.								Honeycomb-like porous 3D nickel electrodeposition for stable Li and Na metal anodes								ENERGY STORAGE MATERIALS				12				69	78		10.1016/j.ensm.2017.11.011			MAY 2018	2018										25							WOS:000428083400010		
J	Wei, Shuya; Choudhury, Snehashis; Tu, Zhengyuan; Zhang, Kaihang; Archer, Lynden A.								Electrochemical Interphases for High-Energy Storage Using Reactive Metal Anodes								ACCOUNTS OF CHEMICAL RESEARCH				51	1			80	88		10.1021/acs.accounts.7b00484			JAN 2018	2018										25							WOS:000423252900010		
J	Zhu, Chenxin; Chortos, Alex; Wang, Yue; Pfattner, Raphael; Lei, Ting; Hinckley, Allison Claire; Pochorovski, Igor; Yan, Xuzhou; To, John W-F.; Oh, Jin Young; Tok, Jeffery B-H.; Bao, Zhenan; Murmann, Boris								Stretchable temperature-sensing circuits with strain suppression based on carbon nanotube transistors								NATURE ELECTRONICS				1	3			183	190		10.1038/s41928-018-0041-0			MAR 2018	2018										24							WOS:000444073800012		
