AUTHOR IDENTIFIERS: (B-3957-2013)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Stable Nontrivial Z(2) Topology in Ultrathin Bi (111) Films: A First-Principles Study","Liu, Zheng; Liu, Chao-Xing; Wu, Yong-Shi; Duan, Wen-Hui; Liu, Feng; Wu, Jian","","","","PHYSICAL REVIEW LETTERS","SEP 23 2011","2011","107","13","","","","","","136805","10.1103/PhysRevLett.107.136805","","","191","21.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","21","20","32","38","28","28","15","0"
"Single valley Dirac fermions in zero-gap HgTe quantum wells","Buettner, B.; Liu, C. X.; Tkachov, G.; Novik, E. G.; Bruene, C.; Buhmann, H.; Hankiewicz, E. M.; Recher, P.; Trauzettel, B.; Zhang, S. C.; Molenkamp, L. W.","","","","NATURE PHYSICS","MAY 2011","2011","7","5","","","","418","422","","10.1038/NPHYS1914","","","164","18.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","26","16","21","14","20","21","18","17","0"
"Kondo Effect in the Helical Edge Liquid of the Quantum Spin Hall State","Maciejko, Joseph; Liu, Chaoxing; Oreg, Yuval; Qi, Xiao-Liang; Wu, Congjun; Zhang, Shou-Cheng","","","","PHYSICAL REVIEW LETTERS","JUN 26 2009","2009","102","25","","","","","","256803","10.1103/PhysRevLett.102.256803","","","160","14.55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","8","10","14","28","18","15","16","19","18","12","0"
"Fingerprint of different spin-orbit terms for spin transport in HgTe quantum wells","Rothe, D. G.; Reinthaler, R. W.; Liu, C-X; Molenkamp, L. W.; Zhang, S-C; Hankiewicz, E. M.","","","","NEW JOURNAL OF PHYSICS","JUN 17 2010","2010","12","","","","","","","065012","10.1088/1367-2630/12/6/065012","","","118","11.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","12","21","13","13","11","19","8","16","4","0"
"Theoretical prediction of topological insulators in thallium-based III-V-VI2 ternary chalcogenides","Yan, Binghai; Liu, Chao-Xing; Zhang, Hai-Jun; Yam, Chi-Yung; Qi, Xiao-Liang; Frauenheim, Thomas; Zhang, Shou-Cheng","","","","EPL","MAY 2010","2010","90","3","","","","","","37002","10.1209/0295-5075/90/37002","","","115","11.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","24","30","17","10","7","10","4","5","1","0"
"Electronic structures and surface states of the topological insulator Bi1-xSbx","Zhang, Hai-Jun; Liu, Chao-Xing; Qi, Xiao-Liang; Deng, Xiao-Yu; Dai, Xi; Zhang, Shou-Cheng; Fang, Zhong","","","","PHYSICAL REVIEW B","AUG 2009","2009","80","8","","","","","","085307","10.1103/PhysRevB.80.085307","","","97","8.82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","11","10","15","6","10","12","7","5","12","8","0"
"Charge-spin duality in nonequilibrium transport of helical liquids","Liu, Chao-Xing; Budich, Jan Carl; Recher, Patrik; Trauzettel, Bjoern","","","","PHYSICAL REVIEW B","JAN 14 2011","2011","83","3","","","","","","035407","10.1103/PhysRevB.83.035407","","","44","4.89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","10","10","5","4","6","1","2","1","0"
"Theoretical prediction of topological insulator in ternary rare earth chalcogenides","Yan, Binghai; Zhang, Hai-Jun; Liu, Chao-Xing; Qi, Xiao-Liang; Frauenheim, Thomas; Zhang, Shou-Cheng","","","","PHYSICAL REVIEW B","OCT 29 2010","2010","82","16","","","","","","161108","10.1103/PhysRevB.82.161108","","","44","4.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","8","7","3","4","2","8","3","2","0"
"Half quantum spin Hall effect on the surface of weak topological insulators","Liu, Chao-Xing; Qi, Xiao-Liang; Zhang, Shou-Cheng","","","","PHYSICA E-LOW-DIMENSIONAL SYSTEMS & NANOSTRUCTURES","FEB 2012","2012","44","5","","","SI","906","911","","10.1016/j.physe.2011.11.005","","","37","4.63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","10","10","5","2","1","2","0"
"Helical Dirac-Majorana interferometer in a superconductor/topological insulator sandwich structure","Liu, Chao-Xing; Trauzettel, Bjoern","","","","PHYSICAL REVIEW B","JUN 21 2011","2011","83","22","","","","","","220510","10.1103/PhysRevB.83.220510","","","27","3.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","3","3","4","3","2","5","2","0"
"Exact Results for the Kondo Screening Cloud of Two Helical Liquids","Posske, Thore; Liu, Chao-Xing; Budich, Jan Carl; Trauzettel, Bjoern","","","","PHYSICAL REVIEW LETTERS","JAN 2 2013","2013","110","1","","","","","","016602","10.1103/PhysRevLett.110.016602","","","23","3.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","6","2","3","1","3","1","0"
"Reentrant topological phases in Mn-doped HgTe quantum wells","Beugeling, W.; Liu, C. X.; Novik, E. G.; Molenkamp, L. W.; Smith, C. Morais","","","","PHYSICAL REVIEW B","MAY 4 2012","2012","85","19","","","","","","195304","10.1103/PhysRevB.85.195304","","","18","2.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","2","1","2","2","2","3","0"
"Current-induced spin polarization in a two-dimensional hole gas","Liu, Chao-Xing; Zhou, Bin; Shen, Shun-Qing; Zhu, Bang-fen","","","","PHYSICAL REVIEW B","MAR 2008","2008","77","12","","","","","","125345","10.1103/PhysRevB.77.125345","","","14","1.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","0","0","1","0","2","0","0","0","5","0","0"
"Topological quantum phase transition and the Berry phase near the Fermi surface in hole-doped quantum wells","Zhou, Bin; Liu, Chao-Xing; Shen, Shun-Qing","","","","EPL","2007","2007","79","4","","","","","","47010","10.1209/0295-5075/79/47010","","","10","0.77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","2","1","0","1","0","0","0","0","0","0","0"
"Rashba interaction as an external Yang-Mills field applied to one-dimensional system","Liu, Chao-xing; Zhu, Zhen-Gang; Zhu, Bang-fen","","","","PHYSICA E-LOW-DIMENSIONAL SYSTEMS & NANOSTRUCTURES","MAY 2006","2006","32","1-2","","","","391","394","","10.1016/j.physe.2005.12.151","12th International Conference on Modulated Semiconductor Structures (MSS12)","JUL 10-15, 2005","2","0.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0"
"Current-induced Spin Polarization in 2-Dimensional Hole Gas","Liu, Chao-Xing; Zhou, Bin; Shen, Shun-Qing; Zhu, Bang-Fen","","","Caldas, MJ; Studart, N","PHYSICS OF SEMICONDUCTORS","2009","2009","1199","","","","","433","+","","","29th International Conference on Physics of Semiconductors","JUL 27-AUG 01, 2008","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
