IDENTIFICADORES DE AUTOR: (M-9022-2016)
Tempo estipulado=Todos os anos. Índices=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Título","Autores","Autorias compartilhadas","Editores","Editores de livros","Título da fonte","Data de publicação","Ano da publicação","Volume","Edição","Número da edição","Suplemento","Edição especial","Página inicial","Página final","Número do artigo","DOI","Título da conferência","Data da conferência","Total de citações","Média por ano","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Cavity QED with a Bose-Einstein condensate","Brennecke, Ferdinand; Donner, Tobias; Ritter, Stephan; Bourdel, Thomas; Koehl, Michael; Esslinger, Tilman","","","","NATURE","NOV 8 2007","2007","450","7167","","","","268","U8","","10.1038/nature06120","","","384","29.54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","44","37","51","26","39","27","23","31","36","27","13","0"
"Cavity optomechanics with a Bose-Einstein condensate","Brennecke, Ferdinand; Ritter, Stephan; Donner, Tobias; Esslinger, Tilman","","","","SCIENCE","OCT 10 2008","2008","322","5899","","","","235","238","","10.1126/science.1163218","","","381","31.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","36","37","40","64","40","41","30","26","30","20","0"
"Cold atoms in cavity-generated dynamical optical potentials","Ritsch, Helmut; Domokos, Peter; Brennecke, Ferdinand; Esslinger, Tilman","","","","REVIEWS OF MODERN PHYSICS","APR 2 2013","2013","85","2","","","","553","601","","10.1103/RevModPhys.85.553","","","333","47.57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","49","50","62","54","57","41","0"
"A COMPACT GRATING-STABILIZED DIODE-LASER SYSTEM FOR ATOMIC PHYSICS","RICCI, L; WEIDEMULLER, M; ESSLINGER, T; HEMMERICH, A; ZIMMERMANN, C; VULETIC, V; KONIG, W; HANSCH, TW","","","","OPTICS COMMUNICATIONS","JUN 15 1995","1995","117","5-6","","","","541","549","","10.1016/0030-4018(95)00146-Y","","","293","11.72","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","8","12","12","15","14","7","12","17","17","14","9","13","14","9","13","17","9","16","16","17","13","7","6","0"
"Confinement induced molecules in a 1D Fermi gas","Moritz, H; Stoferle, T; Gunter, K; Kohl, M; Esslinger, T","","","","PHYSICAL REVIEW LETTERS","JUN 3 2005","2005","94","21","","","","","","210401","10.1103/PhysRevLett.94.210401","","","290","19.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","38","24","34","21","25","20","22","15","19","15","18","9","13","4","0"
"Fermi-Hubbard Physics with Atoms in an Optical Lattice","Esslinger, Tilman","","","Langer, JS","ANNUAL REVIEW OF CONDENSED MATTER PHYSICS, VOL 1","2010","2010","1","","","","","129","152","","10.1146/annurev-conmatphys-070909-104059","","","240","24.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","29","26","33","32","33","31","22","18","0"
"Correlations and counting statistics of an atom laser","Ottl, A; Ritter, S; Kohl, M; Esslinger, T","","","","PHYSICAL REVIEW LETTERS","AUG 26 2005","2005","95","9","","","","","","090404","10.1103/PhysRevLett.95.090404","","","238","15.87","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","28","32","39","24","20","12","13","13","13","10","9","6","7","7","0"
"Short-Range Quantum Magnetism of Ultracold Fermions in an Optical Lattice","Greif, Daniel; Uehlinger, Thomas; Jotzu, Gregor; Tarruell, Leticia; Esslinger, Tilman","","","","SCIENCE","JUN 14 2013","2013","340","6138","","","","1307","1310","","10.1126/science.1236362","","","225","32.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","44","45","37","33","35","12","0"
"Bose-Fermi mixtures in a three-dimensional optical lattice","Guenter, Kenneth; Stoeferle, Thilo; Moritz, Henning; Koehl, Michael; Esslinger, Tilman","","","","PHYSICAL REVIEW LETTERS","MAY 12 2006","2006","96","18","","","","","","180402","10.1103/PhysRevLett.96.180402","","","215","15.36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","18","32","23","24","27","20","14","11","7","10","9","6","8","0"
"Molecules of fermionic atoms in an optical lattice","Stoferle, T; Moritz, H; Gunter, K; Kohl, M; Esslinger, T","","","","PHYSICAL REVIEW LETTERS","JAN 27 2006","2006","96","3","","","","","","030401","10.1103/PhysRevLett.96.030401","","","206","14.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36","35","18","28","17","13","18","12","6","4","10","3","1","5","0"
