PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Castro Neto, A. H.; Guinea, F.; Peres, N. M. R.; Novoselov, K. S.; Geim, A. K.								The electronic properties of graphene								REVIEWS OF MODERN PHYSICS				81	1			109	162		10.1103/RevModPhys.81.109			JAN-MAR 2009	2009										13995							WOS:000264764600004		
J	Qi, Xiao-Liang; Zhang, Shou-Cheng								Topological insulators and superconductors								REVIEWS OF MODERN PHYSICS				83	4						10.1103/RevModPhys.83.1057			OCT 14 2011	2011										5926							WOS:000308825700001		
J	Pendry, JB; Schurig, D; Smith, DR								Controlling electromagnetic fields								SCIENCE				312	5781			1780	1782		10.1126/science.1125907			JUN 23 2006	2006										5238							WOS:000238452800053		
J	Imada, M; Fujimori, A; Tokura, Y								Metal-insulator transitions								REVIEWS OF MODERN PHYSICS				70	4			1039	1263		10.1103/RevModPhys.70.1039			OCT 1998	1998										4548							WOS:000077004600001		
J	Novoselov, K. S.; Fal'ko, V. I.; Colombo, L.; Gellert, P. R.; Schwab, M. G.; Kim, K.								A roadmap for graphene								NATURE				490	7419			192	200		10.1038/nature11458			OCT 11 2012	2012										4468							WOS:000309733300037		
J	Schurig, D.; Mock, J. J.; Justice, B. J.; Cummer, S. A.; Pendry, J. B.; Starr, A. F.; Smith, D. R.								Metamaterial electromagnetic cloak at microwave frequencies								SCIENCE				314	5801			977	980		10.1126/science.1133628			NOV 10 2006	2006										4369							WOS:000241896000048		
J	Landy, N. I.; Sajuyigbe, S.; Mock, J. J.; Smith, D. R.; Padilla, W. J.								Perfect metamaterial absorber								PHYSICAL REVIEW LETTERS				100	20					207402	10.1103/PhysRevLett.100.207402			MAY 23 2008	2008										2760							WOS:000256206400069		
J	Malard, L. M.; Pimenta, M. A.; Dresselhaus, G.; Dresselhaus, M. S.								Raman spectroscopy in graphene								PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS				473	5-6			51	87		10.1016/j.physrep.2009.02.003			APR 2009	2009										2750							WOS:000266061300001		
J	Fang, N; Lee, H; Sun, C; Zhang, X								Sub-diffraction-limited optical imaging with a silver superlens								SCIENCE				308	5721			534	537		10.1126/science.1108759			APR 22 2005	2005										2730							WOS:000228810500047		
J	Leonhardt, Ulf								Optical conformal mapping								SCIENCE				312	5781			1777	1780		10.1126/science.1126493			JUN 23 2006	2006										2633							WOS:000238452800052		
J	Smith, DR; Pendry, JB; Wiltshire, MCK								Metamaterials and negative refractive index								SCIENCE				305	5685			788	792		10.1126/science.1096796			AUG 6 2004	2004										2319							WOS:000223104900029		
J	Damascelli, A; Hussain, Z; Shen, ZX								Angle-resolved photoemission studies of the cuprate superconductors								REVIEWS OF MODERN PHYSICS				75	2			473	541		10.1103/RevModPhys.75.473			APR 2003	2003										2245							WOS:000182718200004		
J	Lee, PA; Nagaosa, N; Wen, XG								Doping a Mott insulator: Physics of high-temperature superconductivity								REVIEWS OF MODERN PHYSICS				78	1			17	85		10.1103/RevModPhys.78.17			JAN-MAR 2006	2006										2147							WOS:000236516300002		
J	Zhang, Yuanbo; Tang, Tsung-Ta; Girit, Caglar; Hao, Zhao; Martin, Michael C.; Zettl, Alex; Crommie, Michael F.; Shen, Y. Ron; Wang, Feng								Direct observation of a widely tunable bandgap in bilayer graphene								NATURE				459	7248			820	823		10.1038/nature08105			JUN 11 2009	2009										2122							WOS:000267084500034		
J	Lui, Chun Hung; Mak, Kin Fai; Shan, Jie; Heinz, Tony F.								Ultrafast Photoluminescence from Graphene								PHYSICAL REVIEW LETTERS				105	12					127404	10.1103/PhysRevLett.105.127404			SEP 16 2010	2010										1934							WOS:000282137400009		
J	Shalaev, Vladimir M.								Optical negative-index metamaterials								NATURE PHOTONICS				1	1			41	48		10.1038/nphoton.2006.49			JAN 2007	2007										1893							WOS:000246293200016		
J	Singh, Virendra; Joung, Daeha; Zhai, Lei; Das, Soumen; Khondaker, Saiful I.; Seal, Sudipta								Graphene based materials: Past, present and future								PROGRESS IN MATERIALS SCIENCE				56	8			1178	1271		10.1016/j.pmatsci.2011.03.003			OCT 2011	2011										1882							WOS:000292470300002		
J	Das Sarma, S.; Adam, Shaffique; Hwang, E. H.; Rossi, Enrico								Electronic transport in two-dimensional graphene								REVIEWS OF MODERN PHYSICS				83	2			407	470		10.1103/RevModPhys.83.407			MAY 16 2011	2011										1863							WOS:000290730200001		
J	Yu, Nanfang; Capasso, Federico								Flat optics with designer metasurfaces								NATURE MATERIALS				13	2			139	150		10.1038/nmat3839			FEB 2014	2014										1793							WOS:000330182700019		
J	Liu, Ming; Yin, Xiaobo; Ulin-Avila, Erick; Geng, Baisong; Zentgraf, Thomas; Ju, Long; Wang, Feng; Zhang, Xiang								A graphene-based broadband optical modulator								NATURE				474	7349			64	67		10.1038/nature10067			JUN 2 2011	2011										1683							WOS:000291156700037		
J	Timusk, T; Statt, B								The pseudogap in high-temperature superconductors: an experimental survey								REPORTS ON PROGRESS IN PHYSICS				62	1			61	122		10.1088/0034-4885/62/1/002			JAN 1999	1999										1656							WOS:000078451600002		
J	Xia, Fengnian; Mueller, Thomas; Lin, Yu-ming; Valdes-Garcia, Alberto; Avouris, Phaedon								Ultrafast graphene photodetector								NATURE NANOTECHNOLOGY				4	12			839	843		10.1038/NNANO.2009.292			DEC 2009	2009										1625							WOS:000272415600017		
J	Vakil, Ashkan; Engheta, Nader								Transformation Optics Using Graphene								SCIENCE				332	6035			1291	1294		10.1126/science.1202691			JUN 10 2011	2011										1589							WOS:000291441700037		
J	Ju, Long; Geng, Baisong; Horng, Jason; Girit, Caglar; Martin, Michael; Hao, Zhao; Bechtel, Hans A.; Liang, Xiaogan; Zettl, Alex; Shen, Y. Ron; Wang, Feng								Graphene plasmonics for tunable terahertz metamaterials								NATURE NANOTECHNOLOGY				6	10			630	634		10.1038/NNANO.2011.146			OCT 2011	2011										1549							WOS:000295923800010		
J	Grigorenko, A. N.; Polini, M.; Novoselov, K. S.								Graphene plasmonics								NATURE PHOTONICS				6	11			749	758		10.1038/NPHOTON.2012.262			NOV 2012	2012										1531							WOS:000310848300014		
J	EMERY, VJ; KIVELSON, SA								IMPORTANCE OF PHASE FLUCTUATIONS IN SUPERCONDUCTORS WITH SMALL SUPERFLUID DENSITY								NATURE				374	6521			434	437		10.1038/374434a0			MAR 30 1995	1995										1511							WOS:A1995QP89900052		
J	Koppens, Frank H. L.; Chang, Darrick E.; Javier Garcia de Abajo, F.								Graphene Plasmonics: A Platform for Strong Light-Matter Interactions								NANO LETTERS				11	8			3370	3377		10.1021/nl201771h			AUG 2011	2011										1442							WOS:000293665600054		
J	Chen, Hou-Tong; Padilla, Willie J.; Zide, Joshua M. O.; Gossard, Arthur C.; Taylor, Antoinette J.; Averitt, Richard D.								Active terahertz metamaterial devices								NATURE				444	7119			597	600		10.1038/nature05343			NOV 30 2006	2006										1359							WOS:000242377600043		
J	Valentine, Jason; Zhang, Shuang; Zentgraf, Thomas; Ulin-Avila, Erick; Genov, Dentcho A.; Bartal, Guy; Zhang, Xiang								Three-dimensional optical metamaterial with a negative refractive index								NATURE				455	7211			376	U32		10.1038/nature07247			SEP 18 2008	2008										1346							WOS:000259265200041		
J	Bao, Qiaoliang; Zhang, Han; Wang, Yu; Ni, Zhenhua; Yan, Yongli; Shen, Ze Xiang; Loh, Kian Ping; Tang, Ding Yuan								Atomic-Layer Graphene as a Saturable Absorber for Ultrafast Pulsed Lasers								ADVANCED FUNCTIONAL MATERIALS				19	19			3077	3083		10.1002/adfm.200901007			OCT 9 2009	2009										1333							WOS:000271132700007		
J	Mueller, Thomas; Xia, Fengnian; Avouris, Phaedon								Graphene photodetectors for high-speed optical communications								NATURE PHOTONICS				4	5			297	301		10.1038/NPHOTON.2010.40			MAY 2010	2010										1227							WOS:000278421400022		
J	Johnston, David C.								The puzzle of high temperature superconductivity in layered iron pnictides and chalcogenides								ADVANCES IN PHYSICS				59	6			803	1061	PII 927730316	10.1080/00018732.2010.513480			2010	2010										1227							WOS:000282683200001		
J	Tsuei, CC; Kirtley, JR								Pairing symmetry in cuprate superconductors								REVIEWS OF MODERN PHYSICS				72	4			969	1016		10.1103/RevModPhys.72.969			OCT 2000	2000										1221							WOS:000165494700002		
J	Koppens, F. H. L.; Mueller, T.; Avouris, Ph.; Ferrari, A. C.; Vitiello, M. S.; Polini, M.								Photodetectors based on graphene, other two-dimensional materials and hybrid systems								NATURE NANOTECHNOLOGY				9	10			780	793		10.1038/NNANO.2014.215			OCT 2014	2014										1212							WOS:000343617200018		
J	Shalaev, VM; Cai, WS; Chettiar, UK; Yuan, HK; Sarychev, AK; Drachev, VP; Kildishev, AV								Negative index of refraction in optical metamaterials								OPTICS LETTERS				30	24			3356	3358		10.1364/OL.30.003356			DEC 15 2005	2005										1212							WOS:000233827000032		
J	Ferrari, Andrea C.; Bonaccorso, Francesco; Fal'ko, Vladimir; Novoselov, Konstantin S.; Roche, Stephan; Boggild, Peter; Borini, Stefano; Koppens, Frank H. L.; Palermo, Vincenzo; Pugno, Nicola; Garrido, Jose A.; Sordan, Roman; Bianco, Alberto; Ballerini, Laura; Prato, Maurizio; Lidorikis, Elefterios; Kivioja, Jani; Marinelli, Claudio; Ryhaenen, Tapani; Morpurgo, Alberto; Coleman, Jonathan N.; Nicolosi, Valeria; Colombo, Luigi; Fert, Albert; Garcia-Hernandez, Mar; Bachtold, Adrian; Schneider, Gregory F.; Guinea, Francisco; Dekker, Cees; Barbone, Matteo; Sun, Zhipei; Galiotis, Costas; Grigorenko, Alexander N.; Konstantatos, Gerasimos; Kis, Andras; Katsnelson, Mikhail; Vandersypen, Lieven; Loiseau, Annick; Morandi, Vittorio; Neumaier, Daniel; Treossi, Emanuele; Pellegrini, Vittorio; Polini, Marco; Tredicucci, Alessandro; Williams, Gareth M.; Hong, Byung Hee; Ahn, Jong-Hyun; Kim, Jong Min; Zirath, Herbert; van Wees, Bart J.; van der Zant, Herre; Occhipinti, Luigi; Di Matteo, Andrea; Kinloch, Ian A.; Seyller, Thomas; Quesnel, Etienne; Feng, Xinliang; Teo, Ken; Rupesinghe, Nalin; Hakonen, Pertti; Neil, Simon R. T.; Tannock, Quentin; Loefwander, Tomas; Kinaret, Jari								Science and technology roadmap for graphene, related two-dimensional crystals, and hybrid systems								NANOSCALE				7	11			4598	4810		10.1039/c4nr01600a			2015	2015										1204							WOS:000351061700001		
J	Jablan, Marinko; Buljan, Hrvoje; Soljacic, Marin								Plasmonics in graphene at infrared frequencies								PHYSICAL REVIEW B				80	24					245435	10.1103/PhysRevB.80.245435			DEC 2009	2009										1201							WOS:000273229200139		
J	Dagotto, E								Complexity in strongly correlated electronic systems								SCIENCE				309	5732			257	262		10.1126/science.1107559			JUL 8 2005	2005										1193							WOS:000230449800032		
