IDENTIFICADORES DE AUTOR: (E-1879-2011)
Tempo estipulado=Todos os anos. Índices=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Título","Autores","Autorias compartilhadas","Editores","Editores de livros","Título da fonte","Data de publicação","Ano da publicação","Volume","Edição","Número da edição","Suplemento","Edição especial","Página inicial","Página final","Número do artigo","DOI","Título da conferência","Data da conferência","Total de citações","Média por ano","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Two-dimensional flexible nanoelectronics","Akinwande, Deji; Petrone, Nicholas; Hone, James","","","","NATURE COMMUNICATIONS","DEC 2014","2014","5","","","","","","","5678","10.1038/ncomms6678","","","682","113.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45","122","173","206","136","0"
"Thermal conductivity of single-walled carbon nanotubes","Hone, J; Whitney, M; Piskoti, C; Zettl, A","","","","PHYSICAL REVIEW B","JAN 15 1999","1999","59","4","","","","R2514","R2516","","10.1103/PhysRevB.59.R2514","","","664","31.62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","6","8","22","27","26","19","28","19","26","59","70","58","57","51","37","43","47","33","22","0"
"Electrical and thermal transport properties of magnetically aligned single walt carbon nanotube films","Hone, J; Llaguno, MC; Nemes, NM; Johnson, AT; Fischer, JE; Walters, DA; Casavant, MJ; Schmidt, J; Smalley, RE","","","","APPLIED PHYSICS LETTERS","JUL 31 2000","2000","77","5","","","","666","668","","10.1063/1.127079","","","603","30.15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","16","17","18","26","33","38","42","35","35","34","34","46","52","42","32","34","26","24","17","0"
"The Role of Surface Oxygen in the Growth of Large Single-Crystal Graphene on Copper","Hao, Yufeng; Bharathi, M. S.; Wang, Lei; Liu, Yuanyue; Chen, Hua; Nie, Shu; Wang, Xiaohan; Chou, Harry; Tan, Cheng; Fallahazad, Babak; Ramanarayan, H.; Magnuson, Carl W.; Tutuc, Emanuel; Yakobson, Boris I.; McCarty, Kevin F.; Zhang, Yong-Wei; Kim, Philip; Hone, James; Colombo, Luigi; Ruoff, Rodney S.","","","","SCIENCE","NOV 8 2013","2013","342","6159","","","","720","723","","10.1126/science.1243879","","","602","86.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","69","114","123","128","95","72","0"
"Performance of monolayer graphene nanomechanical resonators with electrical readout","Chen, Changyao; Rosenblatt, Sami; Bolotin, Kirill I.; Kalb, William; Kim, Philip; Kymissis, Ioannis; Stormer, Horst L.; Heinz, Tony F.; Hone, James","","","","NATURE NANOTECHNOLOGY","DEC 2009","2009","4","12","","","","861","867","","10.1038/NNANO.2009.267","","","562","51.09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","34","56","76","87","71","59","62","60","32","0"
"Flexible and Transparent MoS2 Field-Effect Transistors on Hexagonal Boron Nitride-Graphene Heterostructures","Lee, Gwan-Hyoung; Yu, Young-Jun; Cui, Xu; Petrone, Nicholas; Lee, Chul-Ho; Choi, Min Sup; Lee, Dae-Yeong; Lee, Changgu; Yoo, Won Jong; Watanabe, Kenji; Taniguchi, Takashi; Nuckolls, Colin; Kim, Philip; Hone, James","","","","ACS NANO","SEP 2013","2013","7","9","","","","7931","7936","","10.1021/nn402954e","","","558","79.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","50","90","111","126","111","68","0"
"Chip-integrated ultrafast graphene photodetector with high responsivity","Gan, Xuetao; Shiue, Ren-Jye; Gao, Yuanda; Meric, Inanc; Heinz, Tony F.; Shepard, Kenneth; Hone, James; Assefa, Solomon; Englund, Dirk","","","","NATURE PHOTONICS","NOV 2013","2013","7","11","","","","883","887","","10.1038/nphoton.2013.253","","","508","72.57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","52","99","84","100","106","63","0"
"High-Strength Chemical-Vapor Deposited Graphene and Grain Boundaries","Lee, Gwan-Hyoung; Cooper, Ryan C.; An, Sung Joo; Lee, Sunwoo; van der Zande, Arend; Petrone, Nicholas; Hammerherg, Alexandra G.; Lee, Changgu; Crawford, Bryan; Oliver, Warren; Kysar, Jeffrey W.; Hone, James","","","","SCIENCE","MAY 31 2013","2013","340","6136","","","","1073","1076","","10.1126/science.1235126","","","463","66.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","83","94","90","74","65","51","0"
"Electrostatically-generated nanofibers of electronic polymers","MacDiarmid, AG; Jones, WE; Norris, ID; Gao, J; Johnson, AT; Pinto, NJ; Hone, J; Han, B; Ko, FK; Okuzaki, H; Llaguno, M","","","","SYNTHETIC METALS","MAR 15 2001","2001","119","1-3","","","SI","27","30","","10.1016/S0379-6779(00)00597-X","16th International Conference on Science and Technology of Synthetic Metals (ICSM 2000)","JUL 15-21, 2000","433","22.79","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","8","20","34","35","39","26","31","36","27","35","22","31","23","18","14","13","10","7","0"
"Highly confined low-loss plasmons in graphene-boron nitride heterostructures","Woessner, Achim; Lundeberg, Mark B.; Gao, Yuanda; Principi, Alessandro; Alonso-Gonzaolez, Pablo; Carrega, Matteo; Watanabe, Kenji; Taniguchi, Takashi; Vignale, Giovanni; Polini, Marco; Hone, James; Hillenbrand, Rainer; Koppens, Frank H. L.","","","","NATURE MATERIALS","APR 2015","2015","14","4","","","","421","425","","10.1038/NMAT4169","","","405","81.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34","88","114","107","62","0"
