IDENTIFICADORES DE AUTOR: (G-4870-2011)
Tempo estipulado=Todos os anos. Índices=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Título","Autores","Autorias compartilhadas","Editores","Editores de livros","Título da fonte","Data de publicação","Ano da publicação","Volume","Edição","Número da edição","Suplemento","Edição especial","Página inicial","Página final","Número do artigo","DOI","Título da conferência","Data da conferência","Total de citações","Média por ano","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Engineering of efficient panchromatic sensitizers for nanocrystalline TiO2-based solar cells","Nazeeruddin, MK; Pechy, P; Renouard, T; Zakeeruddin, SM; Humphry-Baker, R; Comte, P; Liska, P; Cevey, L; Costa, E; Shklover, V; Spiccia, L; Deacon, GB; Bignozzi, CA; Gratzel, M","","","","JOURNAL OF THE AMERICAN CHEMICAL SOCIETY","FEB 28 2001","2001","123","8","","","","1613","1624","","10.1021/ja003299u","","","2186","115.05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","32","60","66","83","79","120","101","152","157","192","208","208","201","144","125","112","80","57","0"
"Recent Advances in Sensitized Mesoscopic Solar Cells","Graetzel, Michael","","","","ACCOUNTS OF CHEMICAL RESEARCH","NOV 2009","2009","42","11","","","SI","1788","1798","","10.1021/ar900141y","","","1944","176.73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","71","192","280","266","273","244","228","165","145","80","0"
"Conversion of sunlight to electric power by nanocrystalline dye-sensitized solar cells","Gratzel, M","","","","JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY A-CHEMISTRY","JUN 1 2004","2004","164","1-3","","","SI","3","14","","10.1016/j.jphotochem.2004.02.023","International Conference on Photochemistry","JUL   25, 2003","1780","111.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","43","69","104","110","127","180","196","173","163","154","144","92","78","92","49","0"
"Electrochemical impedance spectroscopic analysis of dye-sensitized solar cells","Wang, Q; Moser, JE; Gratzel, M","","","","JOURNAL OF PHYSICAL CHEMISTRY B","AUG 11 2005","2005","109","31","","","","14945","14953","","10.1021/jp052768h","","","1578","105.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","12","23","26","49","74","137","156","170","223","190","186","138","114","79","0"
"Solar Water Splitting: Progress Using Hematite (alpha-Fe2O3) Photoelectrodes","Sivula, Kevin; Le Formal, Florian; Graetzel, Michael","","","","CHEMSUSCHEM","2011","2011","4","4","","","","432","449","","10.1002/cssc.201000416","","","1519","168.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","91","160","203","210","236","218","243","143","0"
"Nanocrystalline titanium oxide electrodes for photovoltaic applications","Barbe, CJ; Arendse, F; Comte, P; Jirousek, M; Lenzmann, F; Shklover, V; Gratzel, M","","","","JOURNAL OF THE AMERICAN CERAMIC SOCIETY","DEC 1997","1997","80","12","","","","3157","3171","","","","","1456","63.30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","22","40","40","25","59","68","79","80","92","89","82","83","105","114","119","96","89","64","54","37","14","0"
"Fabrication of thin film dye sensitized solar cells with solar to electric power conversion efficiency over 10%","Ito, Seigo; Murakami, Takurou N.; Comte, Pascal; Liska, Paul; Graetzel, Carole; Nazeeruddin, Mohammad K.; Graetzel, Michael","","","","THIN SOLID FILMS","MAY 30 2008","2008","516","14","","","","4613","4619","","10.1016/j.tsf.2007.05.090","6th International Conference on Coatings on Glass and Plasics","JUN 18-22, 2006","1433","119.42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","41","65","126","156","215","227","177","159","118","83","59","0"
"A stable quasi-solid-state dye-sensitized solar cell with an amphiphilic ruthenium sensitizer and polymer gel electrolyte","Wang, P; Zakeeruddin, SM; Moser, JE; Nazeeruddin, MK; Sekiguchi, T; Gratzel, M","","","","NATURE MATERIALS","JUN 2003","2003","2","6","","","","402","407","","10.1038/nmat904","","","1290","75.88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","31","43","59","70","81","83","94","116","117","105","128","112","85","63","67","30","0"
"Highly active oxide photocathode for photoelectrochemical water reduction","Paracchino, Adriana; Laporte, Vincent; Sivula, Kevin; Graetzel, Michael; Thimsen, Elijah","","","","NATURE MATERIALS","JUN 2011","2011","10","6","","","","456","461","","10.1038/NMAT3017","","","1203","133.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","67","115","162","195","178","187","168","121","0"
"New benchmark for water photooxidation by nanostructured alpha-Fe2O3 films","Kay, Andreas; Cesar, Ilkay; Graetzel, Michael","","","","JOURNAL OF THE AMERICAN CHEMICAL SOCIETY","DEC 13 2006","2006","128","49","","","","15714","15721","","10.1021/ja064380l","","","1145","81.79","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","24","46","78","95","129","125","143","120","117","113","93","54","0"
