PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Ryu, Shinsei; Schnyder, Andreas P.; Furusaki, Akira; Ludwig, Andreas W. W.								Topological insulators and superconductors: tenfold way and dimensional hierarchy								NEW JOURNAL OF PHYSICS				12						065010	10.1088/1367-2630/12/6/065010			JUN 17 2010	2010										864							WOS:000279876800008		
J	Qi, Xiao-Liang; Zhang, Shou-Cheng								The quantum spin Hall effect and topological insulators								PHYSICS TODAY				63	1			33	38		10.1063/1.3293411			JAN 2010	2010										811							WOS:000273545900013		
J	Zhang, Yi; He, Ke; Chang, Cui-Zu; Song, Can-Li; Wang, Li-Li; Chen, Xi; Jia, Jin-Feng; Fang, Zhong; Dai, Xi; Shan, Wen-Yu; Shen, Shun-Qing; Niu, Qian; Qi, Xiao-Liang; Zhang, Shou-Cheng; Ma, Xu-Cun; Xue, Qi-Kun								Crossover of the three-dimensional topological insulator Bi2Se3 to the two-dimensional limit								NATURE PHYSICS				6	8			584	588		10.1038/NPHYS1689			AUG 2010	2010										808							WOS:000280559300013		
J	Graf, Tanja; Felser, Claudia; Parkin, Stuart S. P.								Simple rules for the understanding of Heusler compounds								PROGRESS IN SOLID STATE CHEMISTRY				39	1			1	50		10.1016/j.progsolidstchem.2011.02.001			2011	2011										803							WOS:000291291900001		
J	Hsieh, D.; Xia, Y.; Wray, L.; Qian, D.; Pal, A.; Dil, J. H.; Osterwalder, J.; Meier, F.; Bihlmayer, G.; Kane, C. L.; Hor, Y. S.; Cava, R. J.; Hasan, M. Z.								Observation of Unconventional Quantum Spin Textures in Topological Insulators								SCIENCE				323	5916			919	922		10.1126/science.1167733			FEB 13 2009	2009										792							WOS:000263295400038		
J	Evers, Ferdinand; Mirlin, Alexander D.								Anderson transitions								REVIEWS OF MODERN PHYSICS				80	4			1355	1417		10.1103/RevModPhys.80.1355			OCT-DEC 2008	2008										781							WOS:000262253500008		
J	Feng, Baojie; Ding, Zijing; Meng, Sheng; Yao, Yugui; He, Xiaoyue; Cheng, Peng; Chen, Lan; Wu, Kehui								Evidence of Silicene in Honeycomb Structures of Silicon on Ag(111)								NANO LETTERS				12	7			3507	3511		10.1021/nl301047g			JUL 2012	2012										765							WOS:000306296200026		
J	Li, Hui; Haldane, F. D. M.								Entanglement spectrum as a generalization of entanglement entropy: Identification of topological order in non-Abelian fractional quantum Hall effect states								PHYSICAL REVIEW LETTERS				101	1					010504	10.1103/PhysRevLett.101.010504			JUL 4 2008	2008										750							WOS:000257424700010		
J	Alicea, Jason								Majorana fermions in a tunable semiconductor device								PHYSICAL REVIEW B				81	12					125318	10.1103/PhysRevB.81.125318			MAR 2010	2010										738							WOS:000276248900102		
J	Liu, Cheng-Cheng; Jiang, Hua; Yao, Yugui								Low-energy effective Hamiltonian involving spin-orbit coupling in silicene and two-dimensional germanium and tin								PHYSICAL REVIEW B				84	19					195430	10.1103/PhysRevB.84.195430			NOV 7 2011	2011										709							WOS:000296865800015		
J	Lindner, Netanel H.; Refael, Gil; Galitski, Victor								Floquet topological insulator in semiconductor quantum wells								NATURE PHYSICS				7	6			490	495		10.1038/NPHYS1926			JUN 2011	2011										705							WOS:000291146500018		
J	Ando, Yoichi								Topological Insulator Materials								JOURNAL OF THE PHYSICAL SOCIETY OF JAPAN				82	10					102001	10.7566/JPSJ.82.102001			OCT 2013	2013										701							WOS:000325108000001		
J	Hirschfeld, P. J.; Korshunov, M. M.; Mazin, I. I.								Gap symmetry and structure of Fe-based superconductors								REPORTS ON PROGRESS IN PHYSICS				74	12					124508	10.1088/0034-4885/74/12/124508			DEC 2011	2011										675							WOS:000298079500009		
J	Xu, Gang; Weng, Hongming; Wang, Zhijun; Dai, Xi; Fang, Zhong								Chern Semimetal and the Quantized Anomalous Hall Effect in HgCr2Se4								PHYSICAL REVIEW LETTERS				107	18					186806	10.1103/PhysRevLett.107.186806			OCT 27 2011	2011										662							WOS:000297004200022		
J	Chen, Y. L.; Chu, J. -H.; Analytis, J. G.; Liu, Z. K.; Igarashi, K.; Kuo, H. -H.; Qi, X. L.; Mo, S. K.; Moore, R. G.; Lu, D. H.; Hashimoto, M.; Sasagawa, T.; Zhang, S. C.; Fisher, I. R.; Hussain, Z.; Shen, Z. X.								Massive Dirac Fermion on the Surface of a Magnetically Doped Topological Insulator								SCIENCE				329	5992			659	662		10.1126/science.1189924			AUG 6 2010	2010										662							WOS:000280602700032		
J	Abergel, D. S. L.; Apalkov, V.; Berashevich, J.; Ziegler, K.; Chakraborty, Tapash								Properties of graphene: a theoretical perspective								ADVANCES IN PHYSICS				59	4			261	482		10.1080/00018732.2010.487978			2010	2010										662							WOS:000280611900001		
J	Burkov, A. A.; Hook, M. D.; Balents, Leon								Topological nodal semimetals								PHYSICAL REVIEW B				84	23					235126	10.1103/PhysRevB.84.235126			DEC 20 2011	2011										658							WOS:000298557900002		
