IDENTIFICADORES DE AUTOR: (C-1821-2011)
Tempo estipulado=Todos os anos. Índices=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Título","Autores","Autorias compartilhadas","Editores","Editores de livros","Título da fonte","Data de publicação","Ano da publicação","Volume","Edição","Número da edição","Suplemento","Edição especial","Página inicial","Página final","Número do artigo","DOI","Título da conferência","Data da conferência","Total de citações","Média por ano","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Mussel-Inspired Adhesive Binders for High-Performance Silicon Nanoparticle Anodes in Lithium-Ion Batteries","Ryou, Myung-Hyun; Kim, Jangbae; Lee, Inhwa; Kim, Sunjin; Jeong, You Kyeong; Hong, Seonki; Ryu, Ji Hyun; Kim, Taek-Soo; Park, Jung-Ki; Lee, Haeshin; Choi, Jang Wook","","","","ADVANCED MATERIALS","MAR 20 2013","2013","25","11","","","","1571","1576","","10.1002/adma.201203981","","","320","45.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","44","42","60","54","69","37","0"
"Nitrogen-Doped Multiwall Carbon Nanotubes for Lithium Storage with Extremely High Capacity","Shin, Weon Ho; Jeong, Hyung Mo; Kim, Byung Gon; Kang, Jeung Ku; Choi, Jang Wook","","","","NANO LETTERS","MAY 2012","2012","12","5","","","","2283","2288","","10.1021/nl3000908","","","318","39.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","37","51","60","47","50","44","26","0"
"Bendable Inorganic Thin-Film Battery for Fully Flexible Electronic Systems","Koo, Min; Park, Kwi-Il; Lee, Seung Hyun; Suh, Minwon; Jeon, Duk Young; Choi, Jang Wook; Kang, Kisuk; Lee, Keon Jae","","","","NANO LETTERS","SEP 2012","2012","12","9","","","","4810","4816","","10.1021/nl302254v","","","296","37.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","44","46","46","57","60","31","0"
"Restacking-Inhibited 3D Reduced Graphene Oxide for High Performance Supercapacitor Electrodes","Lee, Ji Hoon; Park, Nokyoung; Kim, Byung Gon; Jung, Dae Soo; Im, Kyuhyun; Hur, Jaehyun; Choi, Jang Wook","","","","ACS NANO","OCT 2013","2013","7","10","","","","9366","9374","","10.1021/nn4040734","","","252","36.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","53","58","49","39","36","0"
"Effective Liquid-Phase Exfoliation and Sodium Ion Battery Application of MoS2 Nanosheets","Bang, Gyeong Sook; Nam, Kwan Woo; Kim, Jong Yun; Shin, Jongwoo; Choi, Jang Wook; Choi, Sung-Yool","","","","ACS APPLIED MATERIALS & INTERFACES","MAY 28 2014","2014","6","10","","","","7084","7089","","10.1021/am4060222","","","240","40.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","29","52","61","53","38","0"
"Anomalous Shape Changes of Silicon Nanopillars by Electrochemical Lithiation","Lee, Seok Woo; McDowell, Matthew T.; Choi, Jang Wook; Cui, Yi","","","","NANO LETTERS","JUL 2011","2011","11","7","","","","3034","3039","","10.1021/nl201787r","","","237","26.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","23","29","42","36","42","28","21","13","0"
"Defined spatial structure stabilizes a synthetic multispecies bacterial community","Kim, Hyun Jung; Boedicker, James Q.; Choi, Jang Wook; Ismagilov, Rustem F.","","","","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","NOV 25 2008","2008","105","47","","","","18188","18193","","10.1073/pnas.0807935105","","","233","19.42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","12","15","19","19","19","30","26","26","28","20","18","0"
"Silicon carbide-free graphene growth on silicon for lithium-ion battery with high volumetric energy density","Son, In Hyuk; Park, Jong Hwan; Kwon, Soonchul; Park, Seongyong; Ruemmeli, Mark H.; Bachmatiuk, Alicja; Song, Hyun Jae; Ku, Junhwan; Choi, Jang Wook; Choi, Jae-man; Doo, Seok-Gwang; Chang, Hyuk","","","","NATURE COMMUNICATIONS","JUN 2015","2015","6","","","","","","","7393","10.1038/ncomms8393","","","228","45.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","56","64","63","39","0"
"Encapsulated Monoclinic Sulfur for Stable Cycling of Li-S Rechargeable Batteries","Moon, San; Jung, Young Hwa; Jung, Wook Ki; Jung, Dae Soo; Choi, Jang Wook; Kim, Do Kyung","","","","ADVANCED MATERIALS","DEC 2013","2013","25","45","","","","6547","6553","","10.1002/adma.201303166","","","221","31.57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35","50","45","39","36","16","0"
"Excellent Cycle Life of Lithium-Metal Anodes in Lithium-Ion Batteries with Mussel-Inspired Polydopamine-Coated Separators","Ryou, Myung-Hyun; Lee, Dong Jin; Lee, Je-Nam; Lee, Yong Min; Park, Jung-Ki; Choi, Jang Wook","","","","ADVANCED ENERGY MATERIALS","JUN 2012","2012","2","6","","","","645","650","","10.1002/aenm.201100687","","","220","27.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","10","21","23","31","40","52","41","0"
"Size-dependent fracture of Si nanowire battery anodes","Ryu, Ill; Choi, Jang Wook; Cui, Yi; Nix, William D.","","","","JOURNAL OF THE MECHANICS AND PHYSICS OF SOLIDS","SEP 2011","2011","59","9","","","","1717","1730","","10.1016/j.jmps.2011.06.003","","","216","24.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","25","22","32","32","40","29","19","16","0"
"Wearable Textile Battery Rechargeable by Solar Energy","Lee, Yong-Hee; Kim, Joo-Seong; Noh, Jonghyeon; Lee, Inhwa; Kim, Hyeong Jun; Choi, Sunghun; Seo, Jeongmin; Jeon, Seokwoo; Kim, Taek-Soo; Lee, Jung-Yong; Choi, Jang Wook","","","","NANO LETTERS","NOV 2013","2013","13","11","","","","5753","5761","","10.1021/nl403860k","","","214","30.57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","32","51","47","42","20","0"
"Highly elastic binders integrating polyrotaxanes for silicon microparticle anodes in lithium ion batteries","Choi, Sunghun; Kwon, Tae-Woo; Coskun, Ali; Choi, Jang Wook","","","","SCIENCE","JUL 21 2017","2017","357","6348","","","","279","283","","10.1126/science.aal4373","","","212","70.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","91","111","0"
"Stepwise Nanopore Evolution in One-Dimensional Nanostructures","Choi, Jang Wook; McDonough, James; Jeong, Sangmoo; Yoo, Jee Soo; Chan, Candace K.; Cui, Yi","","","","NANO LETTERS","APR 2010","2010","10","4","","","","1409","1413","","10.1021/nl100258p","","","195","19.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","14","18","30","37","27","22","19","14","13","0"
"Novel Size and Surface Oxide Effects in Silicon Nanowires as Lithium Battery Anodes","McDowell, Matthew T.; Lee, Seok Woo; Ryu, Ill; Wu, Hui; Nix, William D.; Choi, Jang Wook; Cui, Yi","","","","NANO LETTERS","SEP 2011","2011","11","9","","","","4018","4025","","10.1021/nl202630n","","","192","21.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","29","28","26","24","26","21","19","0"
"Electrochemical and Thermal Properties of NASICON Structured Na3V2(PO4)(3) as a Sodium Rechargeable Battery Cathode: A Combined Experimental and Theoretical Study","Lim, Soo Yeon; Kim, Heejin; Shakoor, R. A.; Jung, Yousung; Choi, Jang Wook","","","","JOURNAL OF THE ELECTROCHEMICAL SOCIETY","2012","2012","159","9","","","","A1393","A1397","","10.1149/2.015209jes","","","188","23.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","26","20","30","43","43","19","0"
