PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Roati, Giacomo; D'Errico, Chiara; Fallani, Leonardo; Fattori, Marco; Fort, Chiara; Zaccanti, Matteo; Modugno, Giovanni; Modugno, Michele; Inguscio, Massimo								Anderson localization of a non-interacting Bose-Einstein condensate								NATURE				453	7197			895	U36		10.1038/nature07071			JUN 12 2008	2008										932							WOS:000256632000037		
J	Hartnoll, Sean A.								Lectures on holographic methods for condensed matter physics								CLASSICAL AND QUANTUM GRAVITY				26	22					224002	10.1088/0264-9381/26/22/224002			NOV 21 2009	2009						Winter School on Strings, Supergravity and Gauge Theories	FEB 09-13, 2009	CERN; Ludwig Maximilians Univ Munich, Arnold Sommerfeld Ctr Theoret Phys	Geneva, SWITZERLAND	925							WOS:000271090100003		
J	Jackeli, G.; Khaliullin, G.								Mott Insulators in the Strong Spin-Orbit Coupling Limit: From Heisenberg to a Quantum Compass and Kitaev Models								PHYSICAL REVIEW LETTERS				102	1					017205	10.1103/PhysRevLett.102.017205			JAN 9 2009	2009										900							WOS:000262355000068		
J	Guehne, Otfried; Toth, Geza								Entanglement detection								PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS				474	1-6			1	75		10.1016/j.physrep.2009.02.004			APR 2009	2009										898							WOS:000266183600001		
J	MacDonald, MP; Spalding, GC; Dholakia, K								Microfluidic sorting in an optical lattice								NATURE				426	6965			421	424		10.1038/nature02144			NOV 27 2003	2003										887							WOS:000186800800032		
J	Lin, Y. -J.; Compton, R. L.; Jimenez-Garcia, K.; Porto, J. V.; Spielman, I. B.								Synthetic magnetic fields for ultracold neutral atoms								NATURE				462	7273			628	632		10.1038/nature08609			DEC 3 2009	2009										853							WOS:000272277900036		
J	Lahaye, T.; Menotti, C.; Santos, L.; Lewenstein, M.; Pfau, T.								The physics of dipolar bosonic quantum gases								REPORTS ON PROGRESS IN PHYSICS				72	12					126401	10.1088/0034-4885/72/12/126401			DEC 2009	2009										836							WOS:000272076800005		
J	Lukin, MD								Colloquium: Trapping and manipulating photon states in atomic ensembles								REVIEWS OF MODERN PHYSICS				75	2			457	472		10.1103/RevModPhys.75.457			APR 2003	2003										828							WOS:000182718200003		
J	Jotzu, Gregor; Messer, Michael; Desbuquois, Remi; Lebrat, Martin; Uehlinger, Thomas; Greif, Daniel; Esslinger, Tilman								Experimental realization of the topological Haldane model with ultracold fermions								NATURE				515	7526			237	U191		10.1038/nature13915			NOV 13 2014	2014										818							WOS:000344631400043		
J	Duan, LM; Demler, E; Lukin, MD								Controlling spin exchange interactions of ultracold atoms in optical lattices								PHYSICAL REVIEW LETTERS				91	9					090402	10.1103/PhysRevLett.91.090402			AUG 29 2003	2003										818							WOS:000185235000002		
