IDENTIFICADORES DE AUTOR: (D-2864-2009)
Tempo estipulado=Todos os anos. Índices=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Título","Autores","Autorias compartilhadas","Editores","Editores de livros","Título da fonte","Data de publicação","Ano da publicação","Volume","Edição","Número da edição","Suplemento","Edição especial","Página inicial","Página final","Número do artigo","DOI","Título da conferência","Data da conferência","Total de citações","Média por ano","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Bose-Einstein condensation of cesium","Weber, T; Herbig, J; Mark, M; Nagerl, HC; Grimm, R","","","","SCIENCE","JAN 10 2003","2003","299","5604","","","","232","235","","10.1126/science.1079699","","","352","20.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","37","29","27","25","34","25","20","21","19","21","12","13","14","15","9","8","0"
"Preparation of a pure molecular quantum gas","Herbig, J; Kraemer, T; Mark, M; Weber, T; Chin, C; Nagerl, HC; Grimm, R","","","","SCIENCE","SEP 12 2003","2003","301","5639","","","","1510","1513","","10.1126/science.1088876","","","324","19.06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","49","36","49","24","39","26","11","17","8","14","11","8","7","10","4","5","0"
"Ultracold triplet molecules in the rovibrational ground state","Lang, F.; Winkler, K.; Strauss, C.; Grimm, R.; Denschlag, J. Hecker","","","","PHYSICAL REVIEW LETTERS","SEP 26 2008","2008","101","13","","","","","","133005","10.1103/PhysRevLett.101.133005","","","282","23.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","49","41","50","33","24","19","13","15","17","10","10","0"
"Pure gas of optically trapped molecules created from fermionic atoms","Jochim, S; Bartenstein, M; Altmeyer, A; Hendl, G; Chin, C; Denschlag, JH; Grimm, R","","","","PHYSICAL REVIEW LETTERS","DEC 12 2003","2003","91","24","","","","","","240402","10.1103/PhysRevLett.91.240402","","","244","14.35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","44","38","37","16","15","14","13","17","9","7","5","10","5","5","5","2","0"
"Ultracold Dense Samples of Dipolar RbCs Molecules in the Rovibrational and Hyperfine Ground State","Takekoshi, Tetsu; Reichsoellner, Lukas; Schindewolf, Andreas; Hutson, Jeremy M.; Le Sueur, C. Ruth; Dulieu, Olivier; Ferlaino, Francesca; Grimm, Rudolf; Naegerl, Hanns-Christoph","","","","PHYSICAL REVIEW LETTERS","NOV 12 2014","2014","113","20","","","","","","205301","10.1103/PhysRevLett.113.205301","","","214","35.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","43","45","55","44","26","0"
"Precise determination of Li-6 cold collision parameters by radio-frequency spectroscopy on weakly bound molecules","Bartenstein, M; Altmeyer, A; Riedl, S; Geursen, R; Jochim, S; Chin, C; Denschlag, JH; Grimm, R; Simoni, A; Tiesinga, E; Williams, CJ; Julienne, PS","","","","PHYSICAL REVIEW LETTERS","MAR 18 2005","2005","94","10","","","","","","103201","10.1103/PhysRevLett.94.103201","","","208","13.87","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","18","23","24","27","20","14","14","12","9","8","8","5","6","5","0"
"Exploring an ultracold fermi-fermi mixture: Interspecies Feshbach resonances and scattering properties of Li-6 and K-40","Wille, E.; Spiegelhalder, F. M.; Kerner, G.; Naik, D.; Trenkwalder, A.; Hendl, G.; Schreck, F.; Grimm, R.; Tiecke, T. G.; Walraven, J. T. M.; Kokkelmans, S. J. J. M. F.; Tiesinga, E.; Julienne, P. S.","","","","PHYSICAL REVIEW LETTERS","FEB 8 2008","2008","100","5","","","","","","053201","10.1103/PhysRevLett.100.053201","","","206","17.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","28","27","23","29","12","17","5","14","13","12","7","0"
"Metastability and coherence of repulsive polarons in a strongly interacting Fermi mixture","Kohstall, C.; Zaccanti, M.; Jag, M.; Trenkwalder, A.; Massignan, P.; Bruun, G. M.; Schreck, F.; Grimm, R.","","","","NATURE","MAY 31 2012","2012","485","7400","","","","615","+","","10.1038/nature11065","","","205","25.63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","31","24","24","33","32","28","24","0"
"Observation of an Efimov-like trimer resonance in ultracold atom-dimer scattering","Knoop, S.; Ferlaino, F.; Mark, M.; Berninger, M.; Schoebel, H.; Naegerl, H. -C.; Grimm, R.","","","","NATURE PHYSICS","MAR 2009","2009","5","3","","","","227","230","","10.1038/NPHYS1203","","","187","17.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29","28","26","21","19","9","11","14","13","8","9","0"
"Surface trap for Cs atoms based on evanescent-wave cooling","Ovchinnikov, YB; Manek, I; Grimm, R","","","","PHYSICAL REVIEW LETTERS","SEP 22 1997","1997","79","12","","","","2225","2228","","10.1103/PhysRevLett.79.2225","","","178","7.74","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","14","17","13","10","11","9","9","11","5","10","4","6","5","5","5","7","3","5","7","2","1","0"
