PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Adamo, C; Barone, V								Exchange functionals with improved long-range behavior and adiabatic connection methods without adjustable parameters: The mPW and mPW1PW models								JOURNAL OF CHEMICAL PHYSICS				108	2			664	675		10.1063/1.475428			JAN 8 1998	1998										2325							WOS:000071233400033		
J	Damascelli, A; Hussain, Z; Shen, ZX								Angle-resolved photoemission studies of the cuprate superconductors								REVIEWS OF MODERN PHYSICS				75	2			473	541		10.1103/RevModPhys.75.473			APR 2003	2003										2258							WOS:000182718200004		
J	Valiev, M.; Bylaska, E. J.; Govind, N.; Kowalski, K.; Straatsma, T. P.; Van Dam, H. J. J.; Wang, D.; Nieplocha, J.; Apra, E.; Windus, T. L.; de Jong, Wa.								NWChem: A comprehensive and scalable open-source solution for large scale molecular simulations								COMPUTER PHYSICS COMMUNICATIONS				181	9			1477	1489		10.1016/j.cpc.2010.04.018			SEP 2010	2010										2178							WOS:000280873500001		
J	Stewart, James J. P.								Optimization of parameters for semiempirical methods V: Modification of NDDO approximations and application to 70 elements								JOURNAL OF MOLECULAR MODELING				13	12			1173	1213		10.1007/s00894-007-0233-4			DEC 2007	2007										2114							WOS:000250308000001		
J	Coey, JMD; Viret, M; von Molnar, S								Mixed-valence manganites								ADVANCES IN PHYSICS				48	2			167	293		10.1080/000187399243455			MAR-APR 1999	1999										2015							WOS:000079701400001		
J	Hammer, B; Norskov, JK								Theoretical surface science and catalysis - Calculations and concepts								Advances in Catalysis				45				71	129					2000	2000										1992							WOS:000089180200002		
J	Hartwigsen, C; Goedecker, S; Hutter, J								Relativistic separable dual-space Gaussian pseudopotentials from H to Rn								PHYSICAL REVIEW B				58	7			3641	3662		10.1103/PhysRevB.58.3641			AUG 15 1998	1998										1992							WOS:000075616800043		
J	Becke, AD								Density-functional thermochemistry .4. A new dynamical correlation functional and implications for exact-exchange mixing								JOURNAL OF CHEMICAL PHYSICS				104	3			1040	1046		10.1063/1.470829			JAN 15 1996	1996										1939							WOS:A1996TQ80100028		
J	Kohn, W; Becke, AD; Parr, RG								Density functional theory of electronic structure								JOURNAL OF PHYSICAL CHEMISTRY				100	31			12974	12980		10.1021/jp960669l			AUG 1 1996	1996										1895							WOS:A1996VA59500020		
J	Ernzerhof, M; Scuseria, GE								Assessment of the Perdew-Burke-Ernzerhof exchange-correlation functional								JOURNAL OF CHEMICAL PHYSICS				110	11			5029	5036		10.1063/1.478401			MAR 15 1999	1999										1885							WOS:000079012200006		
J	Salamon, MB; Jaime, M								The physics of manganites: Structure and transport								REVIEWS OF MODERN PHYSICS				73	3			583	628		10.1103/RevModPhys.73.583			JUL 2001	2001										1787							WOS:000172250600002		
J	Roedel, Juergen; Jo, Wook; Seifert, Klaus T. P.; Anton, Eva-Maria; Granzow, Torsten; Damjanovic, Dragan								Perspective on the Development of Lead-free Piezoceramics								JOURNAL OF THE AMERICAN CERAMIC SOCIETY				92	6			1153	1177		10.1111/j.1551-2916.2009.03061.x			JUN 2009	2009										1694							WOS:000266875400001		
J	Ramirez, AP								Colossal magnetoresistance								JOURNAL OF PHYSICS-CONDENSED MATTER				9	39			8171	8199		10.1088/0953-8984/9/39/005			SEP 29 1997	1997										1659							WOS:A1997XZ43100005		
J	RAUHUT, G; PULAY, P								TRANSFERABLE SCALING FACTORS FOR DENSITY-FUNCTIONAL DERIVED VIBRATIONAL FORCE-FIELDS								JOURNAL OF PHYSICAL CHEMISTRY				99	10			3093	3100		10.1021/j100010a019			MAR 9 1995	1995										1622							WOS:A1995QL68000019		
J	Merrick, Jeffrey P.; Moran, Damian; Radom, Leo								An evaluation of harmonic vibrational frequency scale factors								JOURNAL OF PHYSICAL CHEMISTRY A				111	45			11683	11700		10.1021/jp073974n			NOV 15 2007	2007										1604							WOS:000250809400036		
J	Gonze, X.; Amadon, B.; Anglade, P. -M.; Beuken, J. -M.; Bottin, F.; Boulanger, P.; Bruneval, F.; Caliste, D.; Caracas, R.; Cote, M.; Deutsch, T.; Genovese, L.; Ghosez, Ph.; Giantomassi, M.; Goedecker, S.; Hamann, D. R.; Hermet, P.; Jollet, F.; Jomard, G.; Leroux, S.; Mancini, M.; Mazevet, S.; Oliveira, M. J. T.; Onida, G.; Pouillon, Y.; Rangel, T.; Rignanese, G. -M.; Sangalli, D.; Shaltaf, R.; Torrent, M.; Verstraete, M. J.; Zerah, G.; Zwanziger, J. W.								ABINIT: First-principles approach to material and nanosystem properties								COMPUTER PHYSICS COMMUNICATIONS				180	12			2582	2615		10.1016/j.cpc.2009.07.007			DEC 2009	2009										1580							WOS:000273011500017		
J	Vitos, L; Ruban, AV; Skriver, HL; Kollar, J								The surface energy of metals								SURFACE SCIENCE				411	1-2			186	202		10.1016/S0039-6028(98)00363-X			AUG 11 1998	1998										1559							WOS:000075652000031		
J	POREZAG, D; FRAUENHEIM, T; KOHLER, T; SEIFERT, G; KASCHNER, R								CONSTRUCTION OF TIGHT-BINDING-LIKE POTENTIALS ON THE BASIS OF DENSITY-FUNCTIONAL THEORY - APPLICATION TO CARBON								PHYSICAL REVIEW B				51	19			12947	12957		10.1103/PhysRevB.51.12947			MAY 15 1995	1995										1534							WOS:A1995QZ16500002		
J	Sales, BC; Mandrus, D; Williams, RK								Filled skutterudite antimonides: A new class of thermoelectric materials								SCIENCE				272	5266			1325	1328		10.1126/science.272.5266.1325			MAY 31 1996	1996										1523							WOS:A1996UN47200042		
J	Yamada, A; Chung, SC; Hinokuma, K								Optimized LiFePO4 for lithium battery cathodes								JOURNAL OF THE ELECTROCHEMICAL SOCIETY				148	3			A224	A229		10.1149/1.1348257			MAR 2001	2001										1518							WOS:000167545700007		
J	HAMMER, B; NORSKOV, JK								WHY GOLD IS THE NOBLEST OF ALL THE METALS								NATURE				376	6537			238	240		10.1038/376238a0			JUL 20 1995	1995										1491							WOS:A1995RK33100041		
J	PERDEW, JP; CHEVARY, JA; VOSKO, SH; JACKSON, KA; PEDERSON, MR; SINGH, DJ; FIOLHAIS, C								ATOMS, MOLECULES, SOLIDS, AND SURFACES - APPLICATIONS OF THE GENERALIZED GRADIENT APPROXIMATION FOR EXCHANGE AND CORRELATION (VOL 46, PG 6671, 1992)								PHYSICAL REVIEW B				48	7			4978	4978		10.1103/PhysRevB.48.4978.2			AUG 15 1993	1993										1477							WOS:A1993LW02600117		
J	Cococcioni, M; de Gironcoli, S								Linear response approach to the calculation of the effective interaction parameters in the LDA+U method								PHYSICAL REVIEW B				71	3					035105	10.1103/PhysRevB.71.035105			JAN 2005	2005										1421							WOS:000226735900036		
J	Dawber, M; Rabe, KM; Scott, JF								Physics of thin-film ferroelectric oxides								REVIEWS OF MODERN PHYSICS				77	4			1083	1130		10.1103/RevModPhys.77.1083			OCT 2005	2005										1417							WOS:000233723700001		
J	BECKE, AD								DENSITY-FUNCTIONAL THERMOCHEMISTRY .2. THE EFFECT OF THE PERDEW-WANG GENERALIZED-GRADIENT CORRELATION CORRECTION								JOURNAL OF CHEMICAL PHYSICS				97	12			9173	9177		10.1063/1.463343			DEC 15 1992	1992										1354							WOS:A1992KE63700036		
J	BRACK, M								THE PHYSICS OF SIMPLE METAL-CLUSTERS - SELF-CONSISTENT JELLIUM MODEL AND SEMICLASSICAL APPROACHES								REVIEWS OF MODERN PHYSICS				65	3			677	732		10.1103/RevModPhys.65.677			JUL 1993	1993										1327							WOS:A1993LV74200004		
J	Mackenzie, AP; Maeno, Y								The superconductivity of Sr2RuO4 and the physics of spin-triplet pairing								REVIEWS OF MODERN PHYSICS				75	2			657	712		10.1103/RevModPhys.75.657			APR 2003	2003										1311							WOS:000182718200008		
J	Kuroki, Kazuhiko; Onari, Seiichiro; Arita, Ryotaro; Usui, Hidetomo; Tanaka, Yukio; Kontani, Hiroshi; Aoki, Hideo								Unconventional pairing originating from the disconnected Fermi surfaces of superconducting LaFeAsO1-xFx								PHYSICAL REVIEW LETTERS				101	8					087004	10.1103/PhysRevLett.101.087004			AUG 22 2008	2008										1305							WOS:000258643600061		
J	Mavrikakis, M; Hammer, B; Norskov, JK								Effect of strain on the reactivity of metal surfaces								PHYSICAL REVIEW LETTERS				81	13			2819	2822		10.1103/PhysRevLett.81.2819			SEP 28 1998	1998										1302							WOS:000076133300050		
J	Baletto, F; Ferrando, R								Structural properties of nanoclusters: Energetic, thermodynamic, and kinetic effects								REVIEWS OF MODERN PHYSICS				77	1			371	423		10.1103/RevModPhys.77.371			JAN 2005	2005										1294							WOS:000229544100008		
J	Kotliar, G.; Savrasov, S. Y.; Haule, K.; Oudovenko, V. S.; Parcollet, O.; Marianetti, C. A.								Electronic structure calculations with dynamical mean-field theory								REVIEWS OF MODERN PHYSICS				78	3			865	951		10.1103/RevModPhys.78.865			JUL-SEP 2006	2006										1283							WOS:000240875200005		
J	Zhao, Y; Truhlar, DG								Hybrid meta density functional theory methods for thermochemistry, thermochemical kinetics, and noncovalent interactions: The MPW1B95 and MPWB1K models and comparative assessments for hydrogen bonding and van der Waals interactions								JOURNAL OF PHYSICAL CHEMISTRY A				108	33			6908	6918		10.1021/jp048147q			AUG 19 2004	2004										1276							WOS:000223289700017		
J	Johnston, David C.								The puzzle of high temperature superconductivity in layered iron pnictides and chalcogenides								ADVANCES IN PHYSICS				59	6			803	1061	PII 927730316	10.1080/00018732.2010.513480			2010	2010										1233							WOS:000282683200001		
J	Tsuei, CC; Kirtley, JR								Pairing symmetry in cuprate superconductors								REVIEWS OF MODERN PHYSICS				72	4			969	1016		10.1103/RevModPhys.72.969			OCT 2000	2000										1226							WOS:000165494700002		
J	Staroverov, VN; Scuseria, GE; Tao, JM; Perdew, JP								Comparative assessment of a new nonempirical density functional: Molecules and hydrogen-bonded complexes								JOURNAL OF CHEMICAL PHYSICS				119	23			12129	12137		10.1063/1.1626543			DEC 15 2003	2003										1220							WOS:000186970000011		
J	Hammer, B; Norskov, JK								Electronic factors determining the reactivity of metal surfaces								SURFACE SCIENCE				343	3			211	220		10.1016/0039-6028(96)80007-0			DEC 10 1995	1995										1218							WOS:A1995TN95500009		
J	Wu, Zhigang; Cohen, R. E.								More accurate generalized gradient approximation for solids								PHYSICAL REVIEW B				73	23					235116	10.1103/PhysRevB.73.235116			JUN 2006	2006										1207							WOS:000238696600044		
J	PICKETT, WE								ELECTRONIC-STRUCTURE OF THE HIGH-TEMPERATURE OXIDE SUPERCONDUCTORS								REVIEWS OF MODERN PHYSICS				61	2			433	512		10.1103/RevModPhys.61.433			APR 1989	1989										1196							WOS:A1989U100300006		
J	Szot, K; Speier, W; Bihlmayer, G; Waser, R								Switching the electrical resistance of individual dislocations in single-crystalline SrTiO3								NATURE MATERIALS				5	4			312	320		10.1038/nmat1614			APR 2006	2006										1193							WOS:000236530400023		
J	Foulkes, WMC; Mitas, L; Needs, RJ; Rajagopal, G								Quantum Monte Carlo simulations of solids								REVIEWS OF MODERN PHYSICS				73	1			33	83		10.1103/RevModPhys.73.33			JAN 2001	2001										1181							WOS:000167518400003		
J	Paier, J; Marsman, M; Hummer, K; Kresse, G; Gerber, IC; Angyan, JG								Screened hybrid density functionals applied to solids								JOURNAL OF CHEMICAL PHYSICS				124	15					154709	10.1063/1.2187006			APR 21 2006	2006										1178							WOS:000236969500043		
