AUTHOR IDENTIFIERS: (L-2798-2016)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Medium-scale carbon nanotube thin-film integrated circuits on flexible plastic substrates","Cao, Qing; Kim, Hoon-sik; Pimparkar, Ninad; Kulkarni, Jaydeep P.; Wang, Congjun; Shim, Moonsub; Roy, Kaushik; Alam, Muhammad A.; Rogers, John A.","","","","NATURE","JUL 24 2008","2008","454","7203","","","","495","U4","","10.1038/nature07110","","","815","67.92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","61","76","85","93","84","83","80","83","72","56","34","0"
"Dissolvable films of silk fibroin for ultrathin conformal bio-integrated electronics","Kim, Dae-Hyeong; Viventi, Jonathan; Amsden, Jason J.; Xiao, Jianliang; Vigeland, Leif; Kim, Yun-Soung; Blanco, Justin A.; Panilaitis, Bruce; Frechette, Eric S.; Contreras, Diego; Kaplan, David L.; Omenetto, Fiorenzo G.; Huang, Yonggang; Hwang, Keh-Chih; Zakin, Mitchell R.; Litt, Brian; Rogers, John A.","","","","NATURE MATERIALS","JUN 2010","2010","9","6","","","","511","517","","10.1038/NMAT2745","","","769","76.90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","44","45","74","88","98","103","107","113","87","0"
"Transfer printing by kinetic control of adhesion to an elastomeric stamp","Meitl, MA; Zhu, ZT; Kumar, V; Lee, KJ; Feng, X; Huang, YY; Adesida, I; Nuzzo, RG; Rogers, JA","","","","NATURE MATERIALS","JAN 2006","2006","5","1","","","","33","38","","10.1038/nmat1532","","","768","54.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","20","26","51","45","46","74","66","62","69","77","84","75","61","0"
"High-resolution electrohydrodynamic jet printing","Park, Jang-Ung; Hardy, Matt; Kang, Seong Jun; Barton, Kira; Adair, Kurt; Mukhopadhyay, Deep Kishore; Lee, Chang Young; Strano, Michael S.; Alleyne, Andrew G.; Georgiadis, John G.; Ferreira, Placid M.; Rogers, John A.","","","","NATURE MATERIALS","OCT 2007","2007","6","10","","","","782","789","","10.1038/nmat1974","","","741","57.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","50","54","54","50","79","59","85","63","89","94","39","0"
"A hemispherical electronic eye camera based on compressible silicon optoelectronics","Ko, Heung Cho; Stoykovich, Mark P.; Song, Jizhou; Malyarchuk, Viktor; Choi, Won Mook; Yu, Chang-Jae; Geddes, Joseph B., III; Xiao, Jianliang; Wang, Shuodao; Huang, Yonggang; Rogers, John A.","","","","NATURE","AUG 7 2008","2008","454","7205","","","","748","753","","10.1038/nature07113","","","731","60.92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","34","49","47","72","58","83","80","83","78","80","61","0"
"Ultrathin Films of Single-Walled Carbon Nanotubes for Electronics and Sensors: A Review of Fundamental and Applied Aspects","Cao, Qing; Rogers, John A.","","","","ADVANCED MATERIALS","JAN 5 2009","2009","21","1","","","","29","53","","10.1002/adma.200801995","","","716","65.09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","72","92","87","86","82","69","65","62","49","29","0"
"Omnidirectional Printing of Flexible, Stretchable, and Spanning Silver Microelectrodes","Ahn, Bok Y.; Duoss, Eric B.; Motala, Michael J.; Guo, Xiaoying; Park, Sang-Il; Xiong, Yujie; Yoon, Jongseung; Nuzzo, Ralph G.; Rogers, John A.; Lewis, Jennifer A.","","","","SCIENCE","MAR 20 2009","2009","323","5921","","","","1590","1593","","10.1126/science.1168375","","","691","62.82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","31","44","49","52","62","95","96","94","100","59","0"
"Arrays of Sealed Silicon Nanotubes As Anodes for Lithium Ion Batteries","Song, Taeseup; Xia, Jianliang; Lee, Jin-Hyon; Lee, Dong Hyun; Kwon, Moon-Seok; Choi, Jae-Man; Wu, Jian; Doo, Seok Kwang; Chang, Hyuk; Il Park, Won; Zang, Dong Sik; Kim, Hansu; Huang, Yonggang; Hwang, Keh-Chih; Rogers, John A.; Paik, Ungyu","","","","NANO LETTERS","MAY 2010","2010","10","5","","","","1710","1716","","10.1021/nl100086e","","","616","61.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","39","63","77","97","89","85","71","47","42","0"
"Stretchable batteries with self-similar serpentine interconnects and integrated wireless recharging systems","Xu, Sheng; Zhang, Yihui; Cho, Jiung; Lee, Juhwan; Huang, Xian; Jia, Lin; Fan, Jonathan A.; Su, Yewang; Su, Jessica; Zhang, Huigang; Cheng, Huanyu; Lu, Bingwei; Yu, Cunjiang; Chuang, Chi; Kim, Tae-il; Song, Taeseup; Shigeta, Kazuyo; Kang, Sen; Dagdeviren, Canan; Petrov, Ivan; Braun, Paul V.; Huang, Yonggang; Paik, Ungyu; Rogers, John A.","","","","NATURE COMMUNICATIONS","FEB 2013","2013","4","","","","","","","1543","10.1038/ncomms2553","","","608","86.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","69","97","99","118","112","94","0"
"Inorganic semiconductors for flexible electronics","Sun, Yugang; Rogers, John A.","","","","ADVANCED MATERIALS","AUG 3 2007","2007","19","15","","","","1897","1916","","10.1002/adma.200602223","","","558","42.92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","37","43","31","50","53","65","64","65","59","46","25","0"
"Controlled buckling of semiconductor nanoribbons for stretchable electronics","Sun, Yugang; Choi, Won Mook; Jiang, Hanqing; Huang, Yonggang Y.; Rogers, John A.","","","","NATURE NANOTECHNOLOGY","DEC 2006","2006","1","3","","","","201","207","","10.1038/nnano.2006.131","","","532","38.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","11","24","29","39","27","35","43","47","48","64","59","55","50","0"
"A Physically Transient Form of Silicon Electronics","Hwang, Suk-Won; Tao, Hu; Kim, Dae-Hyeong; Cheng, Huanyu; Song, Jun-Kyul; Rill, Elliott; Brenckle, Mark A.; Panilaitis, Bruce; Won, Sang Min; Kim, Yun-Soung; Song, Young Min; Yu, Ki Jun; Ameen, Abid; Li, Rui; Su, Yewang; Yang, Miaomiao; Kaplan, David L.; Zakin, Mitchell R.; Slepian, Marvin J.; Huang, Yonggang; Omenetto, Fiorenzo G.; Rogers, John A.","","","","SCIENCE","SEP 28 2012","2012","337","6102","","","","1640","1644","","10.1126/science.1226325","","","507","63.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","27","71","81","74","79","109","65","0"
"Micro- and nanopatterning techniques for organic electronic and optoelectronic systems","Menard, Etienne; Meitl, Matthew A.; Sun, Yugang; Park, Jang-Ung; Shir, Daniel Jay-Lee; Nam, Yun-Suk; Jeon, Seokwoo; Rogers, John A.","","","","CHEMICAL REVIEWS","APR 2007","2007","107","4","","","","1117","1160","","10.1021/cr050139y","","","498","38.31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","47","53","68","56","47","40","35","37","33","31","29","17","0"
"Complex optical surfaces formed by replica molding against elastomeric masters","Xia, YN; Kim, E; Zhao, XM; Rogers, JA; Prentiss, M; Whitesides, GM","","","","SCIENCE","JUL 19 1996","1996","273","5273","","","","347","349","","10.1126/science.273.5273.347","","","497","20.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","16","14","13","14","13","20","23","23","25","32","30","30","28","31","31","27","25","21","21","14","24","13","8","0"
"Injectable, Cellular-Scale Optoelectronics with Applications for Wireless Optogenetics","Kim, Tae-il; McCall, Jordan G.; Jung, Yei Hwan; Huang, Xian; Siuda, Edward R.; Li, Yuhang; Song, Jizhou; Song, Young Min; Pao, Hsuan An; Kim, Rak-Hwan; Lu, Chaofeng; Lee, Sung Dan; Song, Il-Sun; Shin, Gunchul; Al-Hasani, Ream; Kim, Stanley; Tan, Meng Peun; Huang, Yonggang; Omenetto, Fiorenzo G.; Rogers, John A.; Bruchas, Michael R.","","","","SCIENCE","APR 12 2013","2013","340","6129","","","","211","216","","10.1126/science.1232437","","","496","70.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","59","90","81","84","102","63","0"
"Flexible, foldable, actively multiplexed, high-density electrode array for mapping brain activity in vivo","Viventi, Jonathan; Kim, Dae-Hyeong; Vigeland, Leif; Frechette, Eric S.; Blanco, Justin A.; Kim, Yun-Soung; Avrin, Andrew E.; Tiruvadi, Vineet R.; Hwang, Suk-Won; Vanleer, Ann C.; Wulsin, Drausin F.; Davis, Kathryn; Gelber, Casey E.; Palmer, Larry; Van der Spiegel, Jan; Wu, Jian; Xiao, Jianliang; Huang, Yonggang; Contreras, Diego; Rogers, John A.; Litt, Brian","","","","NATURE NEUROSCIENCE","DEC 2011","2011","14","12","","","","1599","U138","","10.1038/nn.2973","","","494","54.89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","28","48","66","72","66","87","77","49","0"
