AUTHOR: (Ajayan, PM)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Exfoliated Graphitic Carbon Nitride Nanosheets as Efficient Catalysts for Hydrogen Evolution Under Visible Light","Yang, Shubin; Gong, Yongji; Zhang, Jinshui; Zhan, Liang; Ma, Lulu; Fang, Zheyu; Vajtai, Robert; Wang, Xinchen; Ajayan, Pulickel M.","","","","ADVANCED MATERIALS","MAY 7 2013","2013","25","17","","","","2452","2456","","10.1002/adma.201204453","","","1097","156.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","89","152","178","265","242","162"
"Synthesis Of Nitrogen-Doped Graphene Films For Lithium Battery Application","Reddy, Arava Leela Mohana; Srivastava, Anchal; Gowda, Sanketh R.; Gullapalli, Hemtej; Dubey, Madan; Ajayan, Pulickel M.","","","","ACS NANO","NOV 2010","2010","4","11","","","","6337","6342","","10.1021/nn101926g","","","1050","105.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35","89","111","156","158","140","132","132","97"
"Large-Area Vapor-Phase Growth and Characterization of MoS2 Atomic Layers on a SiO2 Substrate","Zhan, Yongjie; Liu, Zheng; Najmaei, Sina; Ajayan, Pulickel M.; Lou, Jun","","","","SMALL","APR 10 2012","2012","8","7","","","","966","971","","10.1002/smll.201102654","","","1039","129.88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26","91","135","185","167","179","173","83"
"Vapour phase growth and grain boundary structure of molybdenum disulphide atomic layers","Najmaei, Sina; Liu, Zheng; Zhou, Wu; Zou, Xiaolong; Shi, Gang; Lei, Sidong; Yakobson, Boris I.; Idrobo, Juan-Carlos; Ajayan, Pulickel M.; Lou, Jun","","","","NATURE MATERIALS","AUG 2013","2013","12","8","","","","754","759","","10.1038/NMAT3673","","","977","139.57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","111","208","178","208","180","81"
"Vertical and in-plane heterostructures from WS2/MoS2 monolayers","Gong, Yongji; Lin, Junhao; Wang, Xingli; Shi, Gang; Lei, Sidong; Lin, Zhong; Zou, Xiaolong; Ye, Gonglan; Vajtai, Robert; Yakobson, Boris I.; Terrones, Humberto; Terrones, Mauricio; Tay, Beng Kang; Lou, Jun; Pantelides, Sokrates T.; Liu, Zheng; Zhou, Wu; Ajayan, Pulickel M.","","","","NATURE MATERIALS","DEC 2014","2014","13","12","","","","1135","1142","","10.1038/NMAT4091","","","905","150.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","111","183","245","250","115"
"OPENING CARBON NANOTUBES WITH OXYGEN AND IMPLICATIONS FOR FILLING","AJAYAN, PM; EBBESEN, TW; ICHIHASHI, T; IIJIMA, S; TANIGAKI, K; HIURA, H","","","","NATURE","APR 8 1993","1993","362","6420","","","","522","525","","10.1038/362522a0","","","879","32.56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","38","33","17","19","33","30","25","37","35","45","46","37","40","52","50","44","40","46","32","38","30","21","27","25","22","6"
"APPLICATION OF CARBON NANOTUBES AS SUPPORTS IN HETEROGENEOUS CATALYSIS","PLANEIX, JM; COUSTEL, N; COQ, B; BROTONS, V; KUMBHAR, PS; DUTARTRE, R; GENESTE, P; BERNIER, P; AJAYAN, PM","","","","JOURNAL OF THE AMERICAN CHEMICAL SOCIETY","AUG 24 1994","1994","116","17","","","","7935","7936","","10.1021/ja00096a076","","","834","32.08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","9","8","14","10","11","13","28","36","49","38","59","57","47","56","46","57","47","53","52","48","34","22","21","14"
"Direct laser writing of micro-supercapacitors on hydrated graphite oxide films","Gao, Wei; Singh, Neelam; Song, Li; Liu, Zheng; Reddy, Arava Leela Mohana; Ci, Lijie; Vajtai, Robert; Zhang, Qing; Wei, Bingqing; Ajayan, Pulickel M.","","","","NATURE NANOTECHNOLOGY","AUG 2011","2011","6","8","","","","496","500","","10.1038/NNANO.2011.110","","","823","91.44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","40","78","111","125","121","131","137","79"
"Intrinsic Structural Defects in Monolayer Molybdenum Disulfide","Zhou, Wu; Zou, Xiaolong; Najmaei, Sina; Liu, Zheng; Shi, Yumeng; Kong, Jing; Lou, Jun; Ajayan, Pulickel M.; Yakobson, Boris I.; Idrobo, Juan-Carlos","","","","NANO LETTERS","JUN 2013","2013","13","6","","","","2615","2622","","10.1021/nl4007479","","","806","115.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","58","123","140","187","187","102"
"Flexible energy storage devices based on nanocomposite paper","Pushparaj, Victor L.; Shaijumon, M. Manikoth; Kumar, Ashavani; Murugesan, Saravanababu; Ci, Lijie; Vajtai, Robert; Linhardt, Robert J.; Nalamasu, Omkaram; Ajayan, Pulickel M.","","","","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","AUG 21 2007","2007","104","34","","","","13574","13577","","10.1073/pnas.0706508104","","","789","60.69","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","28","34","54","75","84","84","97","93","60","78","67","32"
