PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	KRESSE, G; HAFNER, J								AB-INITIO MOLECULAR-DYNAMICS SIMULATION OF THE LIQUID-METAL AMORPHOUS-SEMICONDUCTOR TRANSITION IN GERMANIUM								PHYSICAL REVIEW B				49	20			14251	14269		10.1103/PhysRevB.49.14251			MAY 15 1994	1994										10745							WOS:A1994NR42300018		
J	JOHN, S								STRONG LOCALIZATION OF PHOTONS IN CERTAIN DISORDERED DIELECTRIC SUPERLATTICES								PHYSICAL REVIEW LETTERS				58	23			2486	2489		10.1103/PhysRevLett.58.2486			JUN 8 1987	1987										7498							WOS:A1987H622900027		
J	Xia, YN; Yang, PD; Sun, YG; Wu, YY; Mayers, B; Gates, B; Yin, YD; Kim, F; Yan, YQ								One-dimensional nanostructures: Synthesis, characterization, and applications								ADVANCED MATERIALS				15	5			353	389		10.1002/adma.200390087			MAR 4 2003	2003										7350							WOS:000181713900002		
J	ANDO, T; FOWLER, AB; STERN, F								ELECTRONIC-PROPERTIES OF TWO-DIMENSIONAL SYSTEMS								REVIEWS OF MODERN PHYSICS				54	2			437	672		10.1103/RevModPhys.54.437			1982	1982										5904							WOS:A1982NP45500004		
J	Atwater, Harry A.; Polman, Albert								Plasmonics for improved photovoltaic devices								NATURE MATERIALS				9	3			205	213		10.1038/NMAT2629			MAR 2010	2010										5453							WOS:000274700900014		
J	Pendry, JB; Schurig, D; Smith, DR								Controlling electromagnetic fields								SCIENCE				312	5781			1780	1782		10.1126/science.1125907			JUN 23 2006	2006										5307							WOS:000238452800053		
J	Schurig, D.; Mock, J. J.; Justice, B. J.; Cummer, S. A.; Pendry, J. B.; Starr, A. F.; Smith, D. R.								Metamaterial electromagnetic cloak at microwave frequencies								SCIENCE				314	5801			977	980		10.1126/science.1133628			NOV 10 2006	2006										4434							WOS:000241896000048		
J	BINDER, K; YOUNG, AP								SPIN-GLASSES - EXPERIMENTAL FACTS, THEORETICAL CONCEPTS, AND OPEN QUESTIONS								REVIEWS OF MODERN PHYSICS				58	4			801	976		10.1103/RevModPhys.58.801			OCT 1986	1986										3919							WOS:A1986F310900001		
J	BRENNER, DW								EMPIRICAL POTENTIAL FOR HYDROCARBONS FOR USE IN SIMULATING THE CHEMICAL VAPOR-DEPOSITION OF DIAMOND FILMS								PHYSICAL REVIEW B				42	15			9458	9471		10.1103/PhysRevB.42.9458			NOV 15 1990	1990										3238							WOS:A1990EK47300018		
J	Landy, N. I.; Sajuyigbe, S.; Mock, J. J.; Smith, D. R.; Padilla, W. J.								Perfect metamaterial absorber								PHYSICAL REVIEW LETTERS				100	20					207402	10.1103/PhysRevLett.100.207402			MAY 23 2008	2008										2821							WOS:000256206400069		
J	Dagotto, E; Hotta, T; Moreo, A								Colossal magnetoresistant materials: The key role of phase separation								PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS				344	1-3			1	153		10.1016/S0370-1573(00)00121-6			APR 2001	2001										2807							WOS:000168032900001		
J	Fang, N; Lee, H; Sun, C; Zhang, X								Sub-diffraction-limited optical imaging with a silver superlens								SCIENCE				308	5721			534	537		10.1126/science.1108759			APR 22 2005	2005										2759							WOS:000228810500047		
J	Leonhardt, Ulf								Optical conformal mapping								SCIENCE				312	5781			1777	1780		10.1126/science.1126493			JUN 23 2006	2006										2675							WOS:000238452800052		
J	Johnson, SG; Joannopoulos, JD								Block-iterative frequency-domain methods for Maxwell's equations in a planewave basis								OPTICS EXPRESS				8	3			173	190		10.1364/OE.8.000173			JAN 29 2001	2001										2446							WOS:000166649200003		
J	Smith, DR; Pendry, JB; Wiltshire, MCK								Metamaterials and negative refractive index								SCIENCE				305	5685			788	792		10.1126/science.1096796			AUG 6 2004	2004										2352							WOS:000223104900029		
J	Joannopoulos, JD; Villeneuve, PR; Fan, SH								Photonic crystals: Putting a new twist on light								NATURE				386	6621			143	149		10.1038/386143a0			MAR 13 1997	1997										2320							WOS:A1997WM97300053		
J	Sievenpiper, D; Zhang, LJ; Broas, RFJ; Alexopolous, NG; Yablonovitch, E								High-impedance electromagnetic surfaces with a forbidden frequency band								IEEE TRANSACTIONS ON MICROWAVE THEORY AND TECHNIQUES				47	11			2059	2074		10.1109/22.798001			NOV 1999	1999										2270							WOS:000083406900002		
J	BUTTIKER, M; IMRY, Y; LANDAUER, R; PINHAS, S								GENERALIZED MANY-CHANNEL CONDUCTANCE FORMULA WITH APPLICATION TO SMALL RINGS								PHYSICAL REVIEW B				31	10			6207	6215		10.1103/PhysRevB.31.6207			1985	1985										2140							WOS:A1985AHU4700005		
J	TERSOFF, J								NEW EMPIRICAL-APPROACH FOR THE STRUCTURE AND ENERGY OF COVALENT SYSTEMS								PHYSICAL REVIEW B				37	12			6991	7000		10.1103/PhysRevB.37.6991			APR 15 1988	1988										2121							WOS:A1988N126800045		
J	Shalaev, Vladimir M.								Optical negative-index metamaterials								NATURE PHOTONICS				1	1			41	48		10.1038/nphoton.2006.49			JAN 2007	2007										1915							WOS:000246293200016		
J	Haynes, CL; Van Duyne, RP								Nanosphere lithography: A versatile nanofabrication tool for studies of size-dependent nanoparticle optics								JOURNAL OF PHYSICAL CHEMISTRY B				105	24			5599	5611		10.1021/jp010657m			JUN 21 2001	2001										1875							WOS:000169371500005		
J	Xia, YN; Gates, B; Yin, YD; Lu, Y								Monodispersed colloidal spheres: Old materials with new applications								ADVANCED MATERIALS				12	10			693	713		10.1002/(SICI)1521-4095(200005)12:10<693::AID-ADMA693>3.3.CO;2-A			MAY 17 2000	2000										1817							WOS:000087146900005		
