AUTHOR IDENTIFIERS: (H-2698-2014)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Anomalous Suppression of the Orthorhombic Lattice Distortion in Superconducting Ba(Fe1-xCox)(2)As-2 Single Crystals","Nandi, S.; Kim, M. G.; Kreyssig, A.; Fernandes, R. M.; Pratt, D. K.; Thaler, A.; Ni, N.; Bud'ko, S. L.; Canfield, P. C.; Schmalian, J.; McQueeney, R. J.; Goldman, A. I.","","","","PHYSICAL REVIEW LETTERS","FEB 5 2010","2010","104","5","","","","","","057006","10.1103/PhysRevLett.104.057006","","","294","29.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","40","44","30","34","32","34","23","22","12"
"Systematic effects of carbon doping on the superconducting properties of Mg(B1-xCx)(2)","Wilke, RHT; Bud'ko, SL; Canfield, PC; Finnemore, DK; Suplinskas, RJ; Hannahs, ST","","","","PHYSICAL REVIEW LETTERS","MAY 28 2004","2004","92","21","","","","","","217003","10.1103/PhysRevLett.92.217003","","","287","17.94","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","34","24","53","30","32","28","18","17","13","6","6","3","8","3","9"
"Lattice and magnetic instabilities in CaFe2As2: A single-crystal neutron diffraction study","Goldman, A. I.; Argyriou, D. N.; Ouladdiaf, B.; Chatterji, T.; Kreyssig, A.; Nandi, S.; Ni, N.; Bud'ko, S. L.; Canfield, P. C.; McQueeney, R. J.","","","","PHYSICAL REVIEW B","SEP 2008","2008","78","10","","","","","","100506","10.1103/PhysRevB.78.100506","","","269","22.42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","60","40","33","23","24","21","9","20","9","13","3"
"Pressure-induced volume-collapsed tetragonal phase of CaFe2As2 as seen via neutron scattering","Kreyssig, A.; Green, M. A.; Lee, Y.; Samolyuk, G. D.; Zajdel, P.; Lynn, J. W.; Bud'ko, S. L.; Torikachvili, M. S.; Ni, N.; Nandi, S.; Leao, J. B.; Poulton, S. J.; Argyriou, D. N.; Harmon, B. N.; McQueeney, R. J.; Canfield, P. C.; Goldman, A. I.","","","","PHYSICAL REVIEW B","NOV 2008","2008","78","18","","","","","","184517","10.1103/PhysRevB.78.184517","","","265","22.08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","56","26","31","24","16","23","17","22","17","17","12"
"Coexistence of Competing Antiferromagnetic and Superconducting Phases in the Underdoped Ba(Fe0.953Co0.047)(2)As-2 Compound Using X-ray and Neutron Scattering Techniques","Pratt, D. K.; Tian, W.; Kreyssig, A.; Zarestky, J. L.; Nandi, S.; Ni, N.; Bud'ko, S. L.; Canfield, P. C.; Goldman, A. I.; McQueeney, R. J.","","","","PHYSICAL REVIEW LETTERS","AUG 21 2009","2009","103","8","","","","","","087001","10.1103/PhysRevLett.103.087001","","","257","23.36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","50","30","32","38","24","15","21","23","14","4"
"FeAs-Based Superconductivity: A Case Study of the Effects of Transition Metal Doping on BaFe2As2","Canfield, Paul C.; Bud'ko, Sergey L.","","","Langer, JS","ANNUAL REVIEW OF CONDENSED MATTER PHYSICS, VOL 1","2010","2010","1","","","","","27","50","","10.1146/annurev-conmatphys-070909-104041","","","256","25.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","40","37","32","32","41","29","18","19","4"
"Field-induced quantum critical point in CeCoIn5","Paglione, J; Tanatar, MA; Hawthorn, DG; Boaknin, E; Hill, RW; Ronning, F; Sutherland, M; Taillefer, L; Petrovic, C; Canfield, PC","","","","PHYSICAL REVIEW LETTERS","DEC 12 2003","2003","91","24","","","","","","246405","10.1103/PhysRevLett.91.246405","","","252","14.82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","12","21","24","24","29","13","17","19","14","11","13","13","14","11","6","10"
"First-order structural phase transition in CaFe2As2","Ni, N.; Nandi, S.; Kreyssig, A.; Goldman, A. I.; Mun, E. D.; Bud'ko, S. L.; Canfield, P. C.","","","","PHYSICAL REVIEW B","JUL 2008","2008","78","1","","","","","","014523","10.1103/PhysRevB.78.014523","","","250","20.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","48","33","24","22","17","15","14","23","15","19","6"
"HYBRIDIZATION GAP IN CE3BI4PT3","HUNDLEY, MF; CANFIELD, PC; THOMPSON, JD; FISK, Z; LAWRENCE, JM","","","","PHYSICAL REVIEW B","OCT 1 1990","1990","42","10","","","","6842","6845","","10.1103/PhysRevB.42.6842","","","250","8.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","17","14","21","15","20","13","17","9","14","9","8","10","10","3","3","2","9","5","4","5","7","1","7","4","4","5","3","5"
"New magnetic superconductors: A toy box for solid-state physicists","Canfield, PC; Gammel, PL; Bishop, DJ","","","","PHYSICS TODAY","OCT 1998","1998","51","10","","","","40","46","","10.1063/1.882396","","","246","11.18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","21","35","24","26","13","12","16","6","8","9","8","9","11","9","4","6","5","1","6","3"
