PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Kok, Pieter; Munro, W. J.; Nemoto, Kae; Ralph, T. C.; Dowling, Jonathan P.; Milburn, G. J.								Linear optical quantum computing with photonic qubits								REVIEWS OF MODERN PHYSICS				79	1			135	174		10.1103/RevModPhys.79.135			JAN-MAR 2007	2007										1260							WOS:000244867600004		
J	Richardson, D. J.; Fini, J. M.; Nelson, L. E.								Space-division multiplexing in optical fibres								NATURE PHOTONICS				7	5			354	362		10.1038/NPHOTON.2013.94			MAY 2013	2013										1237							WOS:000318160700009		
J	Yan, Ruoxue; Gargas, Daniel; Yang, Peidong								Nanowire photonics								NATURE PHOTONICS				3	10			569	576		10.1038/NPHOTON.2009.184			OCT 2009	2009										1129							WOS:000270733300012		
J	Giovannetti, Vittorio; Lloyd, Seth; Maccone, Lorenzo								Advances in quantum metrology								NATURE PHOTONICS				5	4			222	229		10.1038/NPHOTON.2011.35			APR 2011	2011										1094							WOS:000288984900012		
J	Molina-Terriza, Gabriel; Torres, Juan P.; Torner, Lluis								Twisted photons								NATURE PHYSICS				3	5			305	310		10.1038/nphys607			MAY 2007	2007										785							WOS:000246738300012		
J	Mak, Kin Fai; Shan, Jie								Photonics and optoelectronics of 2D semiconductor transition metal dichalcogenides								NATURE PHOTONICS				10	4			216	226		10.1038/NPHOTON.2015.282			APR 2016	2016										773							WOS:000372978900009		
J	Hadfield, Robert H.								Single-photon detectors for optical quantum information applications								NATURE PHOTONICS				3	12			696	705		10.1038/nphoton.2009.230			DEC 2009	2009										727							WOS:000272302800011		
J	Doherty, Marcus W.; Manson, Neil B.; Delaney, Paul; Jelezko, Fedor; Wrachtrup, Joerg; Hollenberg, Lloyd C. L.								The nitrogen-vacancy colour centre in diamond								PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS				528	1			1	45		10.1016/j.physrep.2013.02.001			JUL 1 2013	2013										722							WOS:000321078100001		
J	Childress, L.; Dutt, M. V. Gurudev; Taylor, J. M.; Zibrov, A. S.; Jelezko, F.; Wrachtrup, J.; Hemmer, P. R.; Lukin, M. D.								Coherent dynamics of coupled electron and nuclear spin qubits in diamond								SCIENCE				314	5797			281	285		10.1126/science.1131871			OCT 13 2006	2006										721							WOS:000241194100036		
J	Walther, P; Resch, KJ; Rudolph, T; Schenck, E; Weinfurter, H; Vedral, V; Aspelmeyer, M; Zeilinger, A								Experimental one-way quantum computing								NATURE				434	7030			169	176		10.1038/nature03347			MAR 10 2005	2005										715							WOS:000227494500035		
