PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Castro Neto, A. H.; Guinea, F.; Peres, N. M. R.; Novoselov, K. S.; Geim, A. K.								The electronic properties of graphene								REVIEWS OF MODERN PHYSICS				81	1			109	162		10.1103/RevModPhys.81.109			JAN-MAR 2009	2009										14150							WOS:000264764600004		
J	Baughman, RH; Zakhidov, AA; de Heer, WA								Carbon nanotubes - the route toward applications								SCIENCE				297	5582			787	792		10.1126/science.1060928			AUG 2 2002	2002										7845							WOS:000177192800036		
J	Balandin, Alexander A.; Ghosh, Suchismita; Bao, Wenzhong; Calizo, Irene; Teweldebrhan, Desalegne; Miao, Feng; Lau, Chun Ning								Superior thermal conductivity of single-layer graphene								NANO LETTERS				8	3			902	907		10.1021/nl0731872			MAR 2008	2008										7252							WOS:000253947400025		
J	Qi, Xiao-Liang; Zhang, Shou-Cheng								Topological insulators and superconductors								REVIEWS OF MODERN PHYSICS				83	4						10.1103/RevModPhys.83.1057			OCT 14 2011	2011										6050							WOS:000308825700001		
J	Georges, A; Kotliar, G; Krauth, W; Rozenberg, MJ								Dynamical mean-field theory of strongly correlated fermion systems and the limit of infinite dimensions								REVIEWS OF MODERN PHYSICS				68	1			13	125		10.1103/RevModPhys.68.13			JAN 1996	1996										4345							WOS:A1996UH41100002		
J	Ferrari, Andrea C.								Raman spectroscopy of graphene and graphite: Disorder, electron-phonon coupling, doping and nonadiabatic effects								SOLID STATE COMMUNICATIONS				143	1-2			47	57		10.1016/j.ssc.2007.03.052			JUL 2007	2007										3842							WOS:000247947100009		
J	Son, Young-Woo; Cohen, Marvin L.; Louie, Steven G.								Energy gaps in graphene nanoribbons								PHYSICAL REVIEW LETTERS				97	21					216803	10.1103/PhysRevLett.97.216803			NOV 24 2006	2006										3399							WOS:000242219900037		
J	Bernevig, B. Andrei; Hughes, Taylor L.; Zhang, Shou-Cheng								Quantum spin Hall effect and topological phase transition in HgTe quantum wells								SCIENCE				314	5806			1757	1761		10.1126/science.1133734			DEC 15 2006	2006										3361							WOS:000242833600053		
J	Zhang, Haijun; Liu, Chao-Xing; Qi, Xiao-Liang; Dai, Xi; Fang, Zhong; Zhang, Shou-Cheng								Topological insulators in Bi2Se3, Bi2Te3 and Sb2Te3 with a single Dirac cone on the surface								NATURE PHYSICS				5	6			438	442		10.1038/NPHYS1270			JUN 2009	2009										3327							WOS:000266544800024		
J	Koenig, Markus; Wiedmann, Steffen; Bruene, Christoph; Roth, Andreas; Buhmann, Hartmut; Molenkamp, Laurens W.; Qi, Xiao-Liang; Zhang, Shou-Cheng								Quantum spin hall insulator state in HgTe quantum wells								SCIENCE				318	5851			766	770		10.1126/science.1148047			NOV 2 2007	2007										3138							WOS:000250583900033		
