IDENTIFICADORES DE AUTOR: (A-1035-2007)
Tempo estipulado=Todos os anos. Índices=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Título","Autores","Autorias compartilhadas","Editores","Editores de livros","Título da fonte","Data de publicação","Ano da publicação","Volume","Edição","Número da edição","Suplemento","Edição especial","Página inicial","Página final","Número do artigo","DOI","Título da conferência","Data da conferência","Total de citações","Média por ano","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Observation of Unconventional Quantum Spin Textures in Topological Insulators","Hsieh, D.; Xia, Y.; Wray, L.; Qian, D.; Pal, A.; Dil, J. H.; Osterwalder, J.; Meier, F.; Bihlmayer, G.; Kane, C. L.; Hor, Y. S.; Cava, R. J.; Hasan, M. Z.","","","","SCIENCE","FEB 13 2009","2009","323","5916","","","","919","922","","10.1126/science.1167733","","","801","72.82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","85","94","110","92","79","91","67","58","59","36","0"
"MOTION OF A SINGLE HOLE IN A QUANTUM ANTIFERROMAGNET","KANE, CL; LEE, PA; READ, N","","","","PHYSICAL REVIEW B","APR 1 1989","1989","39","10","B","","","6880","6897","","10.1103/PhysRevB.39.6880","","","695","22.42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","61","52","62","49","46","35","33","32","22","19","24","14","13","7","9","10","20","26","21","16","11","10","13","11","6","9","11","8","14","12","0"
"Josephson current and noise at a superconductor/quantum-spin-Hall-insulator/superconductor junction","Fu, Liang; Kane, C. L.","","","","PHYSICAL REVIEW B","APR 2009","2009","79","16","","","","","","161408","10.1103/PhysRevB.79.161408","","","541","49.18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","13","36","47","62","73","75","74","63","52","44","0"
"Time reversal polarization and a Z(2) adiabatic spin pump","Fu, Liang; Kane, C. L.","","","","PHYSICAL REVIEW B","NOV 2006","2006","74","19","","","","","","195312","10.1103/PhysRevB.74.195312","","","493","35.21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","13","23","31","40","34","46","42","44","64","61","50","35","0"
"Coulomb interactions and mesoscopic effects in carbon nanotubes","Kane, C; Balents, L; Fisher, MPA","","","","PHYSICAL REVIEW LETTERS","DEC 22 1997","1997","79","25","","","","5086","5089","","10.1103/PhysRevLett.79.5086","","","489","21.26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","22","32","41","39","46","37","42","28","27","23","19","24","16","15","11","11","11","10","13","10","7","0"
"CORRELATIONS AND FLUCTUATIONS OF COHERENT WAVE TRANSMISSION THROUGH DISORDERED MEDIA","FENG, SC; KANE, C; LEE, PA; STONE, AD","","","","PHYSICAL REVIEW LETTERS","AUG 15 1988","1988","61","7","","","","834","837","","10.1103/PhysRevLett.61.834","","","476","14.88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","14","21","22","16","20","7","8","15","17","19","19","12","10","14","5","13","14","9","7","5","7","9","11","10","6","17","25","27","32","38","25","0"
"Surface states and topological invariants in three-dimensional topological insulators: Application to Bi1-xSbx","Teo, Jeffrey C. Y.; Fu, Liang; Kane, C. L.","","","","PHYSICAL REVIEW B","JUL 2008","2008","78","4","","","","","","045426","10.1103/PhysRevB.78.045426","","","404","33.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","29","21","33","31","50","52","51","42","50","31","0"
"Probing Neutral Majorana Fermion Edge Modes with Charge Transport","Fu, Liang; Kane, C. L.","","","","PHYSICAL REVIEW LETTERS","MAY 29 2009","2009","102","21","","","","","","216403","10.1103/PhysRevLett.102.216403","","","358","32.55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","37","42","41","36","33","41","31","28","35","25","0"
"Topological defects and gapless modes in insulators and superconductors","Teo, Jeffrey C. Y.; Kane, C. L.","","","","PHYSICAL REVIEW B","SEP 22 2010","2010","82","11","","","","","","115120","10.1103/PhysRevB.82.115120","","","317","31.70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","20","32","31","29","39","42","40","42","39","0"
"NONEQUILIBRIUM NOISE AND FRACTIONAL CHARGE IN THE QUANTUM HALL-EFFECT","KANE, CL; FISHER, MPA","","","","PHYSICAL REVIEW LETTERS","JAN 31 1994","1994","72","5","","","","724","727","","10.1103/PhysRevLett.72.724","","","233","8.96","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","6","7","7","11","13","14","14","20","12","15","11","7","4","7","11","7","6","6","7","6","11","11","4","9","0"
