IDENTIFICADORES DE AUTOR: (S-1429-2017)
Tempo estipulado=Todos os anos. Índices=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Título","Autores","Autorias compartilhadas","Editores","Editores de livros","Título da fonte","Data de publicação","Ano da publicação","Volume","Edição","Número da edição","Suplemento","Edição especial","Página inicial","Página final","Número do artigo","DOI","Título da conferência","Data da conferência","Total de citações","Média por ano","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"A topological insulator surface under strong Coulomb, magnetic and disorder perturbations","Wray, L. Andrew; Xu, Su-Yang; Xia, Yuqi; Hsieh, David; Fedorov, Alexei V.; Hor, Yew San; Cava, Robert J.; Bansil, Arun; Lin, Hsin; Hasan, M. Zahid","","","","NATURE PHYSICS","JAN 2011","2011","7","1","","","","32","37","","10.1038/NPHYS1838","","","347","38.56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24","46","51","46","39","47","45","31","18","0"
"Bulk Band Gap and Surface State Conduction Observed in Voltage-Tuned Crystals of the Topological Insulator Bi2Se3","Checkelsky, J. G.; Hor, Y. S.; Cava, R. J.; Ong, N. P.","","","","PHYSICAL REVIEW LETTERS","MAY 10 2011","2011","106","19","","","","","","196801","10.1103/PhysRevLett.106.196801","","","294","32.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","55","45","44","37","30","23","27","16","0"
"Quantum Interference in Macroscopic Crystals of Nonmetallic Bi2Se3","Checkelsky, J. G.; Hor, Y. S.; Liu, M. -H.; Qu, D. -X.; Cava, R. J.; Ong, N. P.","","","","PHYSICAL REVIEW LETTERS","DEC 11 2009","2009","103","24","","","","","","246601","10.1103/PhysRevLett.103.246601","","","271","24.64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","34","47","34","31","20","22","28","21","12","0"
"Observation of topological order in a superconducting doped topological insulator","Wray, L. Andrew; Xu, Su-Yang; Xia, Yuqi; Hor, Yew San; Qian, Dong; Fedorov, Alexei V.; Lin, Hsin; Bansil, Arun; Cava, Robert J.; Hasan, M. Zahid","","","","NATURE PHYSICS","NOV 2010","2010","6","11","","","","855","859","","10.1038/NPHYS1762","","","268","26.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","29","38","31","27","32","32","31","30","17","0"
"Development of ferromagnetism in the doped topological insulator Bi2-xMnxTe3","Hor, Y. S.; Roushan, P.; Beidenkopf, H.; Seo, J.; Qu, D.; Checkelsky, J. G.; Wray, L. A.; Hsieh, D.; Xia, Y.; Xu, S. -Y.; Qian, D.; Hasan, M. Z.; Ong, N. P.; Yazdani, A.; Cava, R. J.","","","","PHYSICAL REVIEW B","MAY 15 2010","2010","81","19","","","","","","195203","10.1103/PhysRevB.81.195203","","","252","25.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","20","29","27","41","29","36","27","17","20","0"
"Formation of isomorphic Ir3+ and Ir4+ octamers and spin dimerization in the spinel CuIr2S4","Radaelli, PG; Horibe, Y; Gutmann, MJ; Ishibashi, H; Chen, CH; Ibberson, RM; Koyama, Y; Hor, YS; Kiryukhin, V; Cheong, SW","","","","NATURE","MAR 14 2002","2002","416","6877","","","","155","158","","10.1038/416155a","","","238","13.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","12","13","17","17","16","11","18","15","17","16","18","20","7","7","12","11","9","0"
"Spatial fluctuations of helical Dirac fermions on the surface of topological insulators","Beidenkopf, Haim; Roushan, Pedram; Seo, Jungpil; Gorman, Lindsay; Drozdov, Ilya; Hor, Yew San; Cava, R. J.; Yazdani, Ali","","","","NATURE PHYSICS","DEC 2011","2011","7","12","","","","939","943","","10.1038/NPHYS2108","","","181","20.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26","30","21","26","33","20","18","7","0"
"Transmission of topological surface states through surface barriers","Seo, Jungpil; Roushan, Pedram; Beidenkopf, Haim; Hor, Y. S.; Cava, R. J.; Yazdani, Ali","","","","NATURE","JUL 15 2010","2010","466","7304","","","","343","346","","10.1038/nature09189","","","134","13.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","14","27","23","12","19","13","9","6","10","0"
"Quantum oscillations in a topological insulator Bi2Te2Se with large bulk resistivity (6 Omega cm)","Xiong, Jun; Petersen, A. C.; Qu, Dongxia; Hor, Y. S.; Cava, R. J.; Ong, N. P.","","","","PHYSICA E-LOW-DIMENSIONAL SYSTEMS & NANOSTRUCTURES","FEB 2012","2012","44","5","","","SI","917","920","","10.1016/j.physe.2011.09.011","","","120","15.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","23","21","16","15","15","7","4","0"
"Phase transitions of Dirac electrons in bismuth","Li, Lu; Checkelsky, J. G.; Hor, Y. S.; Uher, C.; Hebard, A. F.; Cava, R. J.; Ong, N. P.","","","","SCIENCE","JUL 25 2008","2008","321","5888","","","","547","550","","10.1126/science.1158908","","","113","9.42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","12","6","7","8","5","12","17","16","8","14","6","0"
