AUTHOR: (Bernevig, B. Andrei)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Model fractional quantum Hall states and Jack polynomials","Bernevig, B. Andrei; Haldane, F. D. M.","","","","PHYSICAL REVIEW LETTERS","JUN 20 2008","2008","100","24","","","","","","246802","10.1103/PhysRevLett.100.246802","","","178","14.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","17","12","18","25","15","15","19","14","16","17","7"
"MoTe2: A Type-II Weyl Topological Metal","Wang, Zhijun; Gresch, Dominik; Soluyanov, Alexey A.; Xie, Weiwei; Kushwaha, S.; Dai, Xi; Troyer, Matthias; Cava, Robert J.; Bernevig, B. Andrei","","","","PHYSICAL REVIEW LETTERS","JUL 27 2016","2016","117","5","","","","","","056805","10.1103/PhysRevLett.117.056805","","","171","42.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","64","56","28"
"Topological quantum chemistry","Bradlyn, Barry; Elcoro, L.; Cano, Jennifer; Vergniory, M. G.; Wang, Zhijun; Felser, C.; Aroyo, M. I. .; Bernevig, B. Andrei","","","","NATURE","JUL 20 2017","2017","547","7663","","","","298","305","","10.1038/nature23268","","","146","48.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","75","53"
"One-dimensional topological edge states of bismuth bilayers","Drozdov, Ilya K.; Alexandradinata, A.; Jeon, Sangjun; Nadj-Perge, Stevan; Ji, Huiwen; Cava, R. J.; Bernevig, B. Andrei; Yazdani, Ali","","","","NATURE PHYSICS","SEP 2014","2014","10","9","","","","664","669","","10.1038/NPHYS3048","","","138","23.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","20","25","44","33","13"
"Bulk topological invariants in noninteracting point group symmetric insulators","Fang, Chen; Gilbert, Matthew J.; Bernevig, B. Andrei","","","","PHYSICAL REVIEW B","SEP 10 2012","2012","86","11","","","","","","115112","10.1103/PhysRevB.86.115112","","","133","16.63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","16","15","21","20","25","23"
"Hourglass fermions","Wang, Zhijun; Alexandradinata, A.; Cava, R. J.; Bernevig, B. Andrei","","","","NATURE","APR 14 2016","2016","532","7598","","","","189","194","","10.1038/nature17410","","","129","32.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","33","47","34"
"Quantized electric multipole insulators","Benalcazar, Wladimir A.; Bernevig, B. Andrei; Hughes, Taylor L.","","","","SCIENCE","JUL 7 2017","2017","357","6346","","","","61","66","","10.1126/science.aah6442","","","126","42.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","56","63"
"Entanglement Gap and a New Principle of Adiabatic Continuity","Thomale, R.; Sterdyniak, A.; Regnault, N.; Bernevig, B. Andrei","","","","PHYSICAL REVIEW LETTERS","MAY 7 2010","2010","104","18","","","","","","180502","10.1103/PhysRevLett.104.180502","","","122","12.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","24","18","18","14","12","14","9","5","2"
"Exotic d-Wave Superconducting State of Strongly Hole-Doped KxBa1-xFe2As2","Thomale, Ronny; Platt, Christian; Hanke, Werner; Hu, Jiangping; Bernevig, B. Andrei","","","","PHYSICAL REVIEW LETTERS","SEP 8 2011","2011","107","11","","","","","","117001","10.1103/PhysRevLett.107.117001","","","121","13.44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","20","25","21","17","12","9","7","5"
"Mechanism for Explaining Differences in the Order Parameters of FeAs-Based and FeP-Based Pnictide Superconductors","Thomale, Ronny; Platt, Christian; Hanke, Werner; Bernevig, B. Andrei","","","","PHYSICAL REVIEW LETTERS","MAY 6 2011","2011","106","18","","","","","","187003","10.1103/PhysRevLett.106.187003","","","112","12.44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","35","18","12","13","9","6","3","2"
