PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Lukin, MD								Colloquium: Trapping and manipulating photon states in atomic ensembles								REVIEWS OF MODERN PHYSICS				75	2			457	472		10.1103/RevModPhys.75.457			APR 2003	2003										831							WOS:000182718200003		
J	Duan, LM; Demler, E; Lukin, MD								Controlling spin exchange interactions of ultracold atoms in optical lattices								PHYSICAL REVIEW LETTERS				91	9					090402	10.1103/PhysRevLett.91.090402			AUG 29 2003	2003										823							WOS:000185235000002		
J	Rigol, Marcos; Dunjko, Vanja; Yurovsky, Vladimir; Olshanii, Maxim								Relaxation in a completely integrable many-body quantum system: An ab initio study of the dynamics of the highly excited states of 1D lattice hard-core bosons								PHYSICAL REVIEW LETTERS				98	5					050405	10.1103/PhysRevLett.98.050405			FEB 2 2007	2007										822							WOS:000244646100006		
J	Carr, Lincoln D.; DeMille, David; Krems, Roman V.; Ye, Jun								Cold and ultracold molecules: science, technology and applications								NEW JOURNAL OF PHYSICS				11						055049	10.1088/1367-2630/11/5/055049			MAY 14 2009	2009										813							WOS:000266234500040		
J	Grimm, R; Weidemuller, M; Ovchinnikov, YB								Optical dipole traps for neutral atoms								Advances In Atomic Molecular and Optical Physics				42				95	170		10.1016/S1049-250X(08)60186-X			2000	2000										812							WOS:000085557900004		
J	Griesmaier, A; Werner, J; Hensler, S; Stuhler, J; Pfau, T								Bose-Einstein condensation of chromium								PHYSICAL REVIEW LETTERS				94	16					160401	10.1103/PhysRevLett.94.160401			APR 29 2005	2005										808							WOS:000228763800003		
J	Carusotto, Iacopo; Ciuti, Cristiano								Quantum fluids of light								REVIEWS OF MODERN PHYSICS				85	1						10.1103/RevModPhys.85.299			FEB 21 2013	2013										783							WOS:000315489200001		
J	Bakr, Waseem S.; Gillen, Jonathon I.; Peng, Amy; Foelling, Simon; Greiner, Markus								A quantum gas microscope for detecting single atoms in a Hubbard-regime optical lattice								NATURE				462	7269			74	U80		10.1038/nature08482			NOV 5 2009	2009										768							WOS:000271419200034		
J	Bloch, I								Ultracold quantum gases in optical lattices								NATURE PHYSICS				1	1			23	30		10.1038/nphys138			OCT 2005	2005										752							WOS:000234888200016		
J	Sherson, Jacob F.; Weitenberg, Christof; Endres, Manuel; Cheneau, Marc; Bloch, Immanuel; Kuhr, Stefan								Single-atom-resolved fluorescence imaging of an atomic Mott insulator								NATURE				467	7311			68	U97		10.1038/nature09378			SEP 2 2010	2010										748							WOS:000281461200036		
J	Cronin, Alexander D.; Schmiedmayer, Joerg; Pritchard, David E.								Optics and interferometry with atoms and molecules								REVIEWS OF MODERN PHYSICS				81	3			1051	1129		10.1103/RevModPhys.81.1051			JUL-SEP 2009	2009										723							WOS:000270279000008		
J	Jaksch, D; Zoller, P								The cold atom Hubbard toolbox								ANNALS OF PHYSICS				315	1			52	79		10.1016/j.aop.2004.09.010			JAN 2005	2005										681							WOS:000226780300003		
J	Vitanov, NV; Halfmann, T; Shore, BW; Bergmann, K								Laser-induced population transfer by adiabatic passage techniques								ANNUAL REVIEW OF PHYSICAL CHEMISTRY				52				763	809		10.1146/annurev.physchem.52.1.763			2001	2001										680							WOS:000169246500026		
J	Koehler, Thorsten; Goral, Krzysztof; Julienne, Paul S.								Production of cold molecules via magnetically tunable Feshbach resonances								REVIEWS OF MODERN PHYSICS				78	4			1311	1361		10.1103/RevModPhys.78.1311			OCT-DEC 2006	2006										668							WOS:000242538800009		
J	Daley, AJ; Kollath, C; Schollwock, U; Vidal, G								Time-dependent density-matrix renormalization-group using adaptive effective Hilbert spaces								JOURNAL OF STATISTICAL MECHANICS-THEORY AND EXPERIMENT										PII S1742-5468(04)78828-7	10.1088/1742-5468/2004/04/P04005			APR 2004	2004										654							WOS:000227254900005		
J	Hartmann, Michael J.; Brandao, Fernando G. S. L.; Plenio, Martin B.								Strongly interacting polaritons in coupled arrays of cavities								NATURE PHYSICS				2	12			849	855		10.1038/nphys462			DEC 2006	2006										652							WOS:000242478000023		
J	Georgescu, I. M.; Ashhab, S.; Nori, Franco								Quantum simulation								REVIEWS OF MODERN PHYSICS				86	1			153	185		10.1103/RevModPhys.86.153			MAR 10 2014	2014										641							WOS:000334223800001		
J	Calabrese, P; Cardy, J								Time dependence of correlation functions following a quantum quench								PHYSICAL REVIEW LETTERS				96	13					136801	10.1103/PhysRevLett.96.136801			APR 7 2006	2006										608							WOS:000236612400048		
J	Mandel, O; Greiner, M; Widera, A; Rom, T; Hansch, TW; Bloch, I								Controlled collisions for multi-particle entanglement of optically trapped atoms								NATURE				425	6961			937	940		10.1038/nature02008			OCT 30 2003	2003										577							WOS:000186230600035		
J	Fetter, Alexander L.								Rotating trapped Bose-Einstein condensates								REVIEWS OF MODERN PHYSICS				81	2			647	691		10.1103/RevModPhys.81.647			APR-JUN 2009	2009										575							WOS:000267197500006		
J	Hadzibabic, Zoran; Kruger, Peter; Cheneau, Marc; Battelier, Baptiste; Dalibard, Jean								Berezinskii-Kosterlitz-Thouless crossover in a trapped atomic gas								NATURE				441	7097			1118	1121		10.1038/nature04851			JUN 28 2006	2006										569							WOS:000238615500043		
