PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Yoshie, T; Scherer, A; Hendrickson, J; Khitrova, G; Gibbs, HM; Rupper, G; Ell, C; Shchekin, OB; Deppe, DG								Vacuum Rabi splitting with a single quantum dot in a photonic crystal nanocavity								NATURE				432	7014			200	203		10.1038/nature03119			NOV 11 2004	2004										1551							WOS:000225020200040		
J	Ladd, T. D.; Jelezko, F.; Laflamme, R.; Nakamura, Y.; Monroe, C.; O'Brien, J. L.								Quantum computers								NATURE				464	7285			45	53		10.1038/nature08812			MAR 4 2010	2010										1417							WOS:000275117500031		
J	Hennessy, K.; Badolato, A.; Winger, M.; Gerace, D.; Atatuere, M.; Gulde, S.; Faelt, S.; Hu, E. L.; Imamoglu, A.								Quantum nature of a strongly coupled single quantum dot-cavity system								NATURE				445	7130			896	899		10.1038/nature05586			FEB 22 2007	2007										1226							WOS:000244341200044		
J	Clarke, John; Wilhelm, Frank K.								Superconducting quantum bits								NATURE				453	7198			1031	1042		10.1038/nature07128			JUN 19 2008	2008										1046							WOS:000256839900045		
J	Saffman, M.; Walker, T. G.; Molmer, K.								Quantum information with Rydberg atoms								REVIEWS OF MODERN PHYSICS				82	3			2313	2363		10.1103/RevModPhys.82.2313			AUG 18 2010	2010										1038							WOS:000281018800001		
J	Koch, Jens; Yu, Terri M.; Gambetta, Jay; Houck, A. A.; Schuster, D. I.; Majer, J.; Blais, Alexandre; Devoret, M. H.; Girvin, S. M.; Schoelkopf, R. J.								Charge-insensitive qubit design derived from the Cooper pair box								PHYSICAL REVIEW A				76	4					042319	10.1103/PhysRevA.76.042319			OCT 2007	2007										972							WOS:000250619700062		
J	Thompson, J. D.; Zwickl, B. M.; Jayich, A. M.; Marquardt, Florian; Girvin, S. M.; Harris, J. G. E.								Strong dispersive coupling of a high-finesse cavity to a micromechanical membrane								NATURE				452	7183			72	U5		10.1038/nature06715			MAR 6 2008	2008										811							WOS:000253671900048		
J	Hsieh, D.; Xia, Y.; Wray, L.; Qian, D.; Pal, A.; Dil, J. H.; Osterwalder, J.; Meier, F.; Bihlmayer, G.; Kane, C. L.; Hor, Y. S.; Cava, R. J.; Hasan, M. Z.								Observation of Unconventional Quantum Spin Textures in Topological Insulators								SCIENCE				323	5916			919	922		10.1126/science.1167733			FEB 13 2009	2009										801							WOS:000263295400038		
J	Carusotto, Iacopo; Ciuti, Cristiano								Quantum fluids of light								REVIEWS OF MODERN PHYSICS				85	1						10.1103/RevModPhys.85.299			FEB 21 2013	2013										783							WOS:000315489200001		
J	Devoret, M. H.; Schoelkopf, R. J.								Superconducting Circuits for Quantum Information: An Outlook								SCIENCE				339	6124			1169	1174		10.1126/science.1231930			MAR 8 2013	2013										764							WOS:000315709900038		
J	Day, PK; LeDuc, HG; Mazin, BA; Vayonakis, A; Zmuidzinas, J								A broadband superconducting detector suitable for use in large arrays								NATURE				425	6960			817	821		10.1038/nature02037			OCT 23 2003	2003										753							WOS:000186118500040		
J	Niemczyk, T.; Deppe, F.; Huebl, H.; Menzel, E. P.; Hocke, F.; Schwarz, M. J.; Garcia-Ripoll, J. J.; Zueco, D.; Huemmer, T.; Solano, E.; Marx, A.; Gross, R.								Circuit quantum electrodynamics in the ultrastrong-coupling regime								NATURE PHYSICS				6	10			772	776		10.1038/NPHYS1730			OCT 2010	2010										706							WOS:000283570000018		
J	You, J. Q.; Nori, Franco								Atomic physics and quantum optics using superconducting circuits								NATURE				474	7353			589	597		10.1038/nature10122			JUN 30 2011	2011										687							WOS:000292204300029		
J	You, JQ; Nori, F								Superconducting circuits and quantum information								PHYSICS TODAY				58	11			42	47		10.1063/1.2155757			NOV 2005	2005										686							WOS:000232990500023		
J	Brunner, Nicolas; Cavalcanti, Daniel; Pironio, Stefano; Scarani, Valerio; Wehner, Stephanie								Bell nonlocality								REVIEWS OF MODERN PHYSICS				86	2						10.1103/RevModPhys.86.419			APR 18 2014	2014										678							WOS:000335229000001		
J	Roushan, Pedram; Seo, Jungpil; Parker, Colin V.; Hor, Y. S.; Hsieh, D.; Qian, Dong; Richardella, Anthony; Hasan, M. Z.; Cava, R. J.; Yazdani, Ali								Topological surface states protected from backscattering by chiral spin texture								NATURE				460	7259			1106	U64		10.1038/nature08308			AUG 27 2009	2009										656							WOS:000269314000033		
J	Georgescu, I. M.; Ashhab, S.; Nori, Franco								Quantum simulation								REVIEWS OF MODERN PHYSICS				86	1			153	185		10.1103/RevModPhys.86.153			MAR 10 2014	2014										641							WOS:000334223800001		
